player,year,team,career_av
Chase Lundt,2025,BUF,0.0
Chase Young,2020,WAS,29.0
Chau Smith-Wade,2024,CAR,5.0
Chauncey Golston,2021,DAL,12.0
Chazz Surratt,2021,MIN,6.0
Chop Robinson,2024,MIA,4.0
Chris Braswell,2024,TAM,2.0
Chris Claybrooks,2020,JAX,5.0
Chris Garrett,2021,LAR,0.0
Chris Jackson,2020,TEN,2.0
Chris Paul,2022,WAS,10.0
Chris Paul,2025,LAR,
Chris Rumph,2021,LAC,4.0
Chris Wilcox,2021,TAM,
Chris Williamson,2020,NYG,0.0
Christian Barmore,2021,NWE,17.0
Christian Benford,2022,BUF,19.0
Christian Braswell,2023,JAX,1.0
Christian Darrisaw,2021,MIN,26.0
Christian Gonzalez,2023,NWE,19.0
Christian Harris,2022,HOU,14.0
Christian Haynes,2024,SEA,2.0
Christian Holmes,2022,WAS,3.0
Christian Jones,2024,ARI,1.0
Christian Mahogany,2024,DET,6.0
Christian Matthew,2022,ARI,2.0
Christopher Smith,2023,LVR,3.0
Clark Phillips,2023,ATL,4.0
Clay Johnston,2020,LAR,2.0
Cobie Durant,2022,LAR,16.0
Coby Bryant,2022,SEA,13.0
Cody Lindenberg,2025,LVR,1.0
Cody Simon,2025,ARI,3.0
Colby Sorsdal,2023,DET,2.0
Colby Wooden,2023,GNB,8.0
Cole Bishop,2024,BUF,9.0
Cole Strange,2022,NWE,15.0
Cole Van Lanen,2021,GNB,9.0
Collin Oliver,2025,GNB,0.0
Connor Colby,2025,SFO,3.0
Cooper Beebe,2024,DAL,10.0
Cooper DeJean,2024,PHI,16.0
Cooper Hodges,2023,JAX,1.0
Cordale Flott,2022,NYG,12.0
Cory Trice,2023,PIT,1.0
Craig Woodson,2025,NWE,6.0
Creed Humphrey,2021,KAN,51.0
Curtis Brooks,2022,IND,
Curtis Weaver,2020,MIA,0.0
D'Marco Jackson,2022,NOR,6.0
D.J. Davidson,2022,NYG,5.0
D.J. James,2024,SEA,0.0
D.J. Wonnum,2020,MIN,26.0
DJ Ivey,2023,CIN,3.0
DJ Johnson,2023,CAR,3.0
DJ Turner,2023,CIN,12.0
DaRon Bland,2022,DAL,21.0
DaVon Hamilton,2020,JAX,25.0
Dadrion Taylor-Demerson,2024,ARI,3.0
Daelin Hayes,2021,BAL,0.0
Daequan Hardy,2024,BUF,
Daijahn Anthony,2024,CIN,1.0
Daiyan Henley,2023,LAC,18.0
Dallas Turner,2024,MIN,9.0
Damar Hamlin,2021,BUF,11.0
Damarion Williams,2022,BAL,1.0
Damarri Mathis,2022,DEN,7.0
Damon Arnette,2020,LVR,2.0
Damone Clark,2022,DAL,14.0
Dan Jackson,2025,DET,
Dan Moore,2021,PIT,32.0
Dane Belton,2022,NYG,10.0
Dane Jackson,2020,BUF,12.0
Daniel Hardy,2022,LAR,3.0
Daniel Scott,2023,IND,0.0
Daniel Thomas,2020,JAX,5.0
Danny Stutsman,2025,NOR,1.0
Dante Stills,2023,ARI,10.0
Dante Trader,2025,MIA,2.0
Darien Porter,2025,LVR,4.0
Darius Alexander,2025,NYG,2.0
Darius Muasau,2024,NYG,8.0
Darius Robinson,2024,ARI,4.0
Darius Rush,2023,IND,0.0
Darnay Holmes,2020,NYG,8.0
Darnell Wright,2023,CHI,24.0
Darrell Luter,2023,SFO,2.0
Darrell Taylor,2020,SEA,10.0
Darren Hall,2021,ATL,5.0
Darrian Beavers,2022,NYG,0.0
Darrick Forrest,2021,WAS,7.0
David Ojabo,2022,BAL,3.0
David Walker,2025,TAM,
Davion Taylor,2020,PHI,3.0
Daviyon Nixon,2021,CAR,1.0
Dawand Jones,2023,CLE,7.0
Dawson Deaton,2022,CLE,
Daxton Hill,2022,CIN,13.0
Dayo Odeyingbo,2021,IND,15.0
DeAngelo Malone,2022,ATL,4.0
DeMarcco Hellams,2023,ATL,3.0
DeMarvin Leal,2022,PIT,4.0
DeMarvion Overshown,2023,DAL,8.0
DeWayne Carter,2024,BUF,2.0
Deane Leonard,2022,LAC,3.0
Deantre Prince,2024,JAX,1.0
Decamerion Richardson,2024,LVR,4.0
Dee Winters,2023,SFO,13.0
Delarrin Turner-Yell,2022,DEN,2.0
Delmar Glaze,2024,LVR,11.0
Demetrius Knight,2025,CIN,6.0
Denzel Burke,2025,ARI,3.0
Deommodore Lenoir,2021,SFO,21.0
Deone Walker,2025,BUF,8.0
Deonte Banks,2023,NYG,12.0
Deonte Brown,2021,CAR,0.0
Derek Parish,2023,JAX,
Derek Stingley Jr.,2022,HOU,36.0
Derick Hall,2023,SEA,13.0
Derion Kendrick,2022,LAR,7.0
Derrek Tuszka,2020,DEN,3.0
Derrick Barnes,2021,DET,17.0
Derrick Brown,2020,CAR,35.0
Derrick Harmon,2025,PIT,4.0
Desjuan Johnson,2023,LAR,3.0
Devin Harper,2022,DAL,0.0
Devin Lloyd,2022,JAX,35.0
Devon Witherspoon,2023,SEA,26.0
Devonte Wyatt,2022,GNB,10.0
Divine Deablo,2021,LVR,25.0
Dominick Puni,2024,SFO,15.0
Dominique Hampton,2024,WAS,0.0
Dominique Robinson,2022,CHI,6.0
Donovan Ezeiruaku,2025,DAL,3.0
Donovan Jackson,2025,MIN,5.0
Donte Kent,2025,PIT,
Dorian Strong,2025,BUF,1.0
Dorian Williams,2023,BUF,13.0
Doug Kramer,2022,CHI,1.0
Drake Jackson,2022,SFO,3.0
Drew Sanders,2023,DEN,2.0
Dylan Fairchild,2025,CIN,6.0
Dylan Horton,2023,HOU,3.0
Dylan McMahon,2024,PHI,0.0
Dylan Parham,2022,LVR,20.0
Earnest Brown IV,2021,LAR,1.0
Edefuan Ulofoshio,2024,BUF,1.0
Edgerrin Cooper,2024,GNB,10.0
Elerson Smith,2021,NYG,1.0
Elijah Hicks,2022,CHI,8.0
Elijah Jones,2024,ARI,0.0
Elijah Molden,2021,TEN,16.0
Elijah Roberts,2025,TAM,5.0
Emery Jones,2025,BAL,0.0
Emmanuel Forbes,2023,WAS,9.0
Ennis Rakestraw,2024,DET,0.0
Eric Johnson,2022,IND,4.0
Eric Scott,2023,DAL,
Eric Stokes,2021,GNB,14.0
Erick Hallett,2023,JAX,1.0
Ernest Jones,2021,LAR,37.0
Esezi Otomewo,2022,MIN,2.0
Ethan Evans,2023,LAR,6.0
Evan McPherson,2021,CIN,15.0
Evan Neal,2022,NYG,11.0
Evan Weaver,2020,ARI,
Evan Williams,2024,GNB,8.0
Eyioma Uwazurike,2022,DEN,3.0
Fadil Diggs,2025,NOR,0.0
Faion Hicks,2022,DEN,0.0
Felix Anudike-Uzomah,2023,KAN,4.0
Francisco Mauigoa,2025,NYJ,3.0
Garret Wallow,2021,HOU,5.0
Garrett Williams,2023,ARI,9.0
Geno Stone,2020,BAL,22.0
George Karlaftis III,2022,KAN,27.0
Gervarrius Owens,2023,NYG,0.0
Gervon Dexter,2023,CHI,17.0
Giovanni Manu,2024,DET,1.0
Graham Barton,2024,TAM,15.0
Grant Delpit,2020,CLE,26.0
Grant Stuard,2021,TAM,7.0
Greg Newsome II,2021,CLE,19.0
Gregory Junior,2022,JAX,1.0
Gregory Rousseau,2021,BUF,38.0
Hamsah Nasirildeen,2021,NYJ,2.0
Harrison Hand,2020,MIN,2.0
Hayden Conner,2025,ARI,0.0
Henry To'oTo'o,2023,HOU,17.0
Hunter Nourzad,2024,KAN,2.0
Hunter Wohler,2025,IND,
Ifeatu Melifonwu,2021,DET,8.0
Isaiah Adams,2024,ARI,8.0
Isaiah Bolden,2023,NWE,1.0
Isaiah Foskey,2023,NOR,2.0
Isaiah McDuffie,2021,GNB,19.0
Isaiah McGuire,2023,CLE,7.0
Isaiah Rodgers,2020,IND,18.0
Isaiah Simmons,2020,ARI,20.0
Isaiah Thomas,2022,CLE,1.0
