player,year,team,career_av
Neil Farrell,2022,LVR,2.0
Nesta Jade Silvera,2023,LVR,1.0
Neville Gallimore,2020,DAL,14.0
Nic Jones,2023,KAN,2.0
Nic Scourton,2025,CAR,4.0
Nick Bolton,2021,KAN,30.0
Nick Broeker,2023,BUF,1.0
Nick Cross,2022,IND,15.0
Nick Emmanwori,2025,SEA,4.0
Nick Gargiulo,2024,DEN,
Nick Hampton,2023,LAR,3.0
Nick Herbig,2023,PIT,10.0
Nick Martin,2025,SFO,1.0
Nick Niemann,2021,LAC,5.0
Nick Saldiveri,2023,NOR,3.0
Nick Zakelj,2022,SFO,2.0
Nik Bonitto,2022,DEN,32.0
Nnamdi Madubuike,2020,BAL,38.0
Noah Igbinoghene,2020,MIA,7.0
Noah Sewell,2023,CHI,6.0
Nohl Williams,2025,KAN,3.0
Nolan Smith,2023,PHI,13.0
O'Cyrus Torrence,2023,BUF,23.0
Ochaun Mathis,2023,LAR,1.0
Odafe Oweh,2021,BAL,16.0
Olumuyiwa Fashanu,2024,NYJ,10.0
Oluwafemi Oladejo,2025,TEN,1.0
Omarr Norman-Lott,2025,KAN,1.0
Osa Odighizuwa,2021,DAL,31.0
Otito Ogbonnia,2022,LAC,12.0
Owen Pappoe,2023,ARI,3.0
Ozzy Trapilo,2025,CHI,3.0
Paris Johnson,2023,ARI,19.0
Patrick Johnson,2021,PHI,6.0
Patrick Jones II,2021,MIN,8.0
Patrick McMorris,2024,MIA,0.0
Patrick Paul,2024,MIA,10.0
Patrick Queen,2020,BAL,54.0
Patrick Surtain II,2021,DEN,51.0
Paulson Adebo,2021,NOR,22.0
Payton Turner,2021,NOR,3.0
Payton Wilson,2024,PIT,7.0
Penei Sewell,2021,DET,64.0
Percy Butler,2022,WAS,7.0
Perrion Winfrey,2022,CLE,1.0
Pete Werner,2021,NOR,30.0
Peter Skoronski,2023,TEN,15.0
Phidarian Mathis,2022,WAS,2.0
Phil Hoskins,2021,CAR,1.0
Pressley Harvin III,2021,PIT,4.0
Princely Umanmielen,2025,CAR,2.0
Quan Martin,2023,WAS,11.0
Quandarrius Robinson,2025,DEN,1.0
Quay Walker,2022,GNB,22.0
Quentin Lake,2022,LAR,11.0
Quincy Riley,2025,NOR,3.0
Quincy Roche,2021,PIT,2.0
Quinton Bohanna,2021,DAL,8.0
Quinyon Mitchell,2024,PHI,19.0
Qwan'tez Stiggers,2024,NYJ,3.0
R.J. Mickens,2025,LAC,3.0
Rachad Wildgoose,2021,BUF,2.0
Raekwon Davis,2020,MIA,23.0
Rashad Weaver,2021,TEN,5.0
Rashard Lawrence,2020,ARI,6.0
Rashawn Slater,2021,LAC,32.0
Rasheed Walker,2022,GNB,29.0
Raymond Vohasek,2023,JAX,
Rayuan Lane,2025,JAX,1.0
Reggie Robinson II,2020,DAL,0.0
Renardo Green,2024,SFO,8.0
Richard LeCounte,2021,CLE,1.0
Richie Grant,2021,ATL,13.0
Ricky Stromberg,2023,WAS,0.0
Riley Moss,2023,DEN,12.0
Riq Woolen,2022,SEA,22.0
Robert Beal,2023,SFO,2.0
Robert Hainsey,2021,TAM,23.0
Robert Longerbeam,2025,BAL,
Robert Rochell,2021,LAR,4.0
Robert Windsor,2020,IND,0.0
Rodarius Williams,2021,NYG,1.0
Rodney Thomas II,2022,IND,11.0
Roger McCreary,2022,TEN,13.0
Roger Rosengarten,2024,BAL,17.0
Ronnie Perkins,2021,NWE,0.0
Ross Blacklock,2020,HOU,4.0
Roy Lopez,2021,HOU,22.0
Ruben Hyppolite,2025,CHI,1.0
Ruke Orhorhoro,2024,ATL,6.0
Russ Yeast,2022,LAR,4.0
Ryan Hayes,2023,MIA,0.0
Ryan Watts,2024,PIT,
Rylie Mills,2025,SEA,0.0
Sai'vion Jones,2025,DEN,1.0
Sam Roberts,2022,NWE,2.0
Sam Sloman,2020,LAR,0.0
Sam Williams,2022,DAL,6.0
Samuel Cosmi,2021,WAS,26.0
Samuel Womack,2022,SFO,7.0
Sanoussi Kane,2024,BAL,1.0
Sataoa Laumea,2024,SEA,2.0
Sauce Gardner,2022,NYJ,33.0
Scott Matlock,2023,LAC,12.0
Sean Rhyan,2022,GNB,16.0
Sedrick Van Pran-Granger,2024,BUF,4.0
Shaka Toney,2021,WAS,2.0
Shaquille Quarterman,2020,JAX,5.0
Shaun Bradley,2020,PHI,3.0
Shaun Wade,2021,BAL,3.0
Shavon Revel,2025,DAL,1.0
Shawn Davis,2021,IND,0.0
Shemar James,2025,DAL,2.0
Shemar Jean-Charles,2021,GNB,2.0
Shemar Stewart,2025,CIN,2.0
Shemar Turner,2025,CHI,0.0
Siaki Ika,2023,CLE,0.0
Sidy Sow,2023,NWE,5.0
Sione Vaki,2024,DET,1.0
SirVocea Dennis,2023,TAM,8.0
Smael Mondon,2025,PHI,1.0
Solomon Byrd,2024,HOU,0.0
Spencer Anderson,2023,PIT,6.0
Spencer Brown,2021,BUF,38.0
Spencer Burford,2022,SFO,17.0
Stantley Thomas-Oliver,2020,CAR,2.0
Sterling Hofrichter,2020,ATL,1.0
Stone Forsythe,2021,SEA,13.0
Sydney Brown,2023,PHI,5.0
T'Vondre Sweat,2024,TEN,11.0
T.J. Brunson,2020,NYG,0.0
T.J. Sanders,2025,BUF,2.0
T.J. Tampa,2024,BAL,1.0
Ta'Quon Graham,2021,ATL,9.0
Tae Crowder,2020,NYG,16.0
Talanoa Hufanga,2021,SFO,29.0
Taliese Fuaga,2024,NOR,13.0
Tanner Muse,2020,LVR,2.0
Tanor Bortolini,2024,IND,10.0
Tarheeb Still,2024,LAC,10.0
Tariq Carpenter,2022,GNB,1.0
Tariq Castro-Fields,2022,SFO,1.0
Tarron Jackson,2021,PHI,1.0
Tate Ratledge,2025,DET,7.0
Tatum Bethune,2024,SFO,5.0
Tavius Robinson,2023,BAL,9.0
Tay Gowan,2021,ARI,0.0
Tedarrell Slaton,2021,GNB,23.0
Teddye Buchanan,2025,BAL,5.0
Terell Smith,2023,CHI,4.0
Terrel Bernard,2022,BUF,25.0
Terrell Burgess,2020,LAR,4.0
Terrell Lewis,2020,LAR,5.0
Terrion Arnold,2024,DET,8.0
Teven Jenkins,2021,CHI,17.0
Thakarius Keyes,2020,KAN,1.0
Thayer Munford,2022,LVR,11.0
Theo Jackson,2022,TEN,8.0
Thomas Booker,2022,HOU,9.0
Thomas Graham,2021,CHI,0.0
Tim Smith,2025,IND,
Titus Leo,2023,IND,0.0
Tommy Akingbesote,2025,DAL,
Tommy Doyle,2021,BUF,1.0
Tommy Eichenberg,2024,LVR,2.0
Tommy Togiai,2021,CLE,7.0
Tonka Hemingway,2025,LVR,1.0
Tony Fields,2021,CLE,9.0
Tory Taylor,2024,CHI,6.0
Travis Bell,2023,CHI,0.0
Travis Jones,2022,BAL,15.0
Travon Walker,2022,JAX,26.0
Tre Brown,2021,SEA,6.0
Tre Hawkins,2023,NYG,3.0
Tre Norwood,2021,PIT,3.0
Tre'Vius Tomlinson,2023,LAR,1.0
Tre'von Moehrig,2021,LVR,25.0
Trent McDuffie,2022,KAN,33.0
Trenton Gill,2022,CHI,5.0
Trenton Simpson,2023,BAL,11.0
Trevin Wallace,2024,CAR,8.0
Trevis Gipson,2020,CHI,11.0
Trevon Diggs,2020,DAL,33.0
Trevor Keegan,2024,PHI,0.0
Trey Amos,2025,WAS,2.0
Trey Hill,2021,CIN,3.0
Trey Smith,2021,KAN,36.0
Trey Taylor,2024,LVR,1.0
Trikweze Bridges,2025,LAC,1.0
Troy Andersen,2022,ATL,6.0
Troy Dye,2020,MIN,14.0
Troy Fautanu,2024,PIT,9.0
Troy Pride Jr.,2020,CAR,3.0
Tuli Tuipulotu,2023,LAC,21.0
Ty Hamilton,2025,LAR,1.0
Ty Robinson,2025,PHI,1.0
Ty'Ron Hopper,2024,GNB,3.0
Tycen Anderson,2022,CIN,2.0
Tykee Smith,2024,TAM,9.0
Tylan Grable,2024,BUF,2.0
Tyleik Williams,2025,DET,4.0
Tyler Baron,2025,NYJ,0.0
Tyler Bass,2020,BUF,13.0
Tyler Booker,2025,DAL,6.0
Tyler Davis,2024,LAR,3.0
Tyler Guyton,2024,DAL,9.0
Tyler Lacy,2023,JAX,6.0
Tyler Linderbaum,2022,BAL,34.0
Tyler Loop,2025,BAL,3.0
Tyler Nubin,2024,NYG,9.0
Tyler Shelvin,2021,CIN,0.0
Tyler Smith,2022,DAL,33.0
Tyler Steen,2023,PHI,10.0
Tyree Gillespie,2021,LVR,1.0
Tyree Wilson,2023,LVR,8.0
Tyreke Smith,2022,SEA,0.0
Tyrice Knight,2024,SEA,9.0
Tyrion Ingram-Dawkins,2025,MIN,2.0
Tyrique Stevenson,2023,CHI,14.0
Tyson Campbell,2021,JAX,25.0
Upton Stout,2025,SFO,2.0
Vederian Lowe,2022,MIN,12.0
Ventrell Miller,2023,JAX,6.0
Vernon Broughton,2025,NOR,0.0
Vernon Scott,2020,GNB,1.0
Victor Dimukeje,2021,ARI,6.0
Viliami Fehoko,2023,DAL,
Walter Nolen,2025,ARI,1.0
Walter Rouse,2024,MIN,0.0
Wanya Morris,2023,KAN,8.0
Warren Brinson,2025,GNB,1.0
Warren McClendon,2023,LAR,9.0
Will Anderson,2023,HOU,37.0
Will Fries,2021,IND,17.0
Will Johnson,2025,ARI,3.0
Will McDonald,2023,NYJ,15.0
Will Reichard,2024,MIN,8.0
William Bradley-King,2021,WAS,0.0
William Sherman,2021,NWE,1.0
Willie Gay Jr.,2020,KAN,27.0
Wyatt Davis,2021,MIN,0.0
Wyatt Hubert,2021,CIN,
Wyatt Milum,2025,JAX,1.0
Xavier McKinney,2020,NYG,39.0
Xavier Thomas,2024,ARI,1.0
Xavier Watts,2025,ATL,7.0
YaYa Diaby,2023,TAM,19.0
Yahya Black,2025,PIT,2.0
Yasir Abdullah,2023,JAX,3.0
Yetur Gross-Matos,2020,CAR,18.0
Zacch Pickens,2023,CHI,3.0
Zach Frazier,2024,PIT,13.0
Zach Harrison,2023,ATL,5.0
Zach Tom,2022,GNB,26.0
Zachary Carter,2022,CIN,10.0
Zachary Thomas,2022,CHI,0.0
Zack Baun,2020,NOR,39.0
Zah Frazier,2025,CHI,
Zaire Barnes,2023,NYJ,1.0
Zak Zinter,2024,CLE,1.0
Zaven Collins,2021,ARI,24.0
Zech McPhearson,2021,PHI,2.0
Zeek Biggers,2025,MIA,1.0
Zion Logue,2024,ATL,0.0
Zyon McCollum,2022,TAM,17.0
