player,year,team,career_av
Jacob Cowing,2024,SFO,1.0
Jacob Harris,2021,LAR,0.0
Jacory Croskey-Merritt,2025,WAS,6.0
Jaelon Darden,2021,TAM,0.0
Jahan Dotson,2022,WAS,12.0
Jaheim Bell,2024,NWE,0.0
Jahmyr Gibbs,2023,DET,40.0
Jake Ferguson,2022,DAL,19.0
Jake Funk,2021,LAR,0.0
Jalen Brooks,2023,DAL,2.0
Jalen Camp,2021,JAX,0.0
Jalen McMillan,2024,TAM,7.0
Jalen Nailor,2022,MIN,9.0
Jalen Reagor,2020,PHI,10.0
Jalen Royals,2025,KAN,0.0
Jalen Tolbert,2022,DAL,9.0
Jalin Hyatt,2023,NYG,3.0
Jamari Thrash,2024,CLE,1.0
James Cook,2022,BUF,43.0
James Mitchell,2022,DET,1.0
James Proche,2020,BAL,4.0
Jameson Williams,2022,DET,26.0
Jared Wiley,2024,KAN,0.0
Jarquez Hunter,2025,LAR,0.0
Jase McClellan,2024,ATL,0.0
Jason Huntley,2020,DET,0.0
Jauan Jennings,2020,SFO,21.0
Javon Baker,2024,NWE,0.0
Javonte Williams,2021,DEN,28.0
Jawhar Jordan,2024,HOU,1.0
Jaxon Smith-Njigba,2023,SEA,30.0
Jayden Higgins,2025,HOU,4.0
Jayden Reed,2023,GNB,19.0
Jaydon Blue,2025,DAL,1.0
Jaylen Waddle,2021,MIA,41.0
Jaylen Wright,2024,MIA,4.0
Jaylin Lane,2025,WAS,4.0
Jaylin Noel,2025,HOU,2.0
Jelani Woods,2022,IND,2.0
Jeremy Ruckert,2022,NYJ,4.0
Jermaine Burton,2024,CIN,1.0
Jermar Jefferson,2021,DET,1.0
Jerome Ford,2022,CLE,11.0
Jerry Jeudy,2020,DEN,31.0
Jha'Quan Jackson,2024,TEN,0.0
Jimmy Horn,2025,CAR,1.0
Joe Reed,2020,LAC,0.0
John Bates,2021,WAS,6.0
John FitzPatrick,2022,ATL,1.0
John Hightower,2020,PHI,1.0
John Metchie,2022,HOU,5.0
Johnny Wilson,2024,PHI,0.0
Jonathan Mingo,2023,CAR,4.0
Jonathan Taylor,2020,IND,58.0
Jonathon Brooks,2024,CAR,0.0
Jordan Addison,2023,MIN,20.0
Jordan James,2025,SFO,0.0
Jordan Watkins,2025,SFO,0.0
Jordan Whittington,2024,LAR,5.0
Josh Downs,2023,IND,19.0
Josh Palmer,2021,LAC,21.0
Josh Whyle,2023,TEN,3.0
Joshua Kelley,2020,LAC,9.0
Josiah Deguara,2020,GNB,4.0
Junior Bergen,2025,SFO,
Justin Jefferson,2020,MIN,65.0
Justin Shorter,2023,BUF,0.0
K.J. Hill,2020,LAC,1.0
K.J. Osborn,2020,MIN,13.0
KJ Hamler,2020,DEN,5.0
Kadarius Toney,2021,NYG,7.0
Kaden Prather,2025,BUF,
Kaleb Johnson,2025,PIT,1.0
Kalel Mullings,2025,TEN,0.0
Kawaan Baker,2021,NOR,0.0
Kayshon Boutte,2023,NWE,10.0
Ke'Shawn Vaughn,2020,TAM,2.0
KeAndre Lambert-Smith,2025,LAC,0.0
Keaontay Ingram,2022,ARI,2.0
Keilan Robinson,2024,JAX,0.0
Kendre Miller,2023,NOR,4.0
Kene Nwangwu,2021,MIN,5.0
Kenneth Gainwell,2021,PHI,24.0
Kenneth Walker III,2022,SEA,28.0
Kenny McIntosh,2023,SEA,1.0
Keon Coleman,2024,BUF,11.0
Kevin Harris,2022,NWE,1.0
Khalil Herbert,2021,CHI,13.0
Khalil Shakir,2022,BUF,25.0
Kimani Vidal,2024,LAC,7.0
Ko Kieft,2022,TAM,1.0
Konata Mumpfield,2025,LAR,1.0
Kyle Monangai,2025,CHI,6.0
Kyle Philips,2022,TEN,3.0
Kyle Pitts,2021,ATL,28.0
Kyle Williams,2025,NWE,2.0
Kylen Granson,2021,IND,8.0
Kylin Hill,2021,GNB,0.0
Kyren Williams,2022,LAR,31.0
La'Mical Perine,2020,NYJ,3.0
LaJohntay Wester,2025,BAL,0.0
Ladd McConkey,2024,LAC,18.0
Larry Rountree,2021,LAC,1.0
Laviska Shenault Jr.,2020,JAX,13.0
LeQuint Allen,2025,JAX,1.0
Lew Nichols,2023,GNB,0.0
Luke Farrell,2021,JAX,3.0
Luke Lachey,2025,HOU,
Luke McCaffrey,2024,WAS,4.0
Luke Musgrave,2023,GNB,6.0
Luke Schoonmaker,2023,DAL,4.0
Luther Burden,2025,CHI,6.0
Lynn Bowden Jr.,2020,LVR,3.0
Malachi Corley,2024,NYJ,1.0
Malcolm Perry,2020,MIA,1.0
Malik Nabers,2024,NYG,12.0
Malik Washington,2024,MIA,7.0
MarShawn Lloyd,2024,GNB,0.0
Marquez Stevenson,2021,BUF,0.0
Marvin Harrison Jr.,2024,ARI,13.0
Marvin Mims,2023,DEN,13.0
Mason Taylor,2025,NYJ,3.0
Matthew Golden,2025,GNB,4.0
Michael Carter,2021,NYJ,16.0
Michael Mayer,2023,LVR,7.0
Michael Pittman Jr.,2020,IND,44.0
Michael Wilson,2023,ARI,18.0
Michael Woods II,2022,CLE,0.0
Mike Strachan,2021,IND,0.0
Mitchell Evans,2025,CAR,2.0
Moliki Matavao,2025,NOR,0.0
Montrell Washington,2022,DEN,0.0
Najee Harris,2021,PIT,30.0
Nick Muse,2022,MIN,0.0
Nico Collins,2021,HOU,33.0
Noah Gray,2021,KAN,11.0
Ollie Gordon,2025,MIA,2.0
Omarion Hampton,2025,LAC,5.0
Oronde Gadsden II,2025,LAC,6.0
Parker Washington,2023,JAX,15.0
Pat Bryant,2025,DEN,3.0
Pat Freiermuth,2021,PIT,22.0
Payne Durham,2023,TAM,2.0
Phil Mafah,2025,DAL,0.0
Pierre Strong,2022,NWE,4.0
Puka Nacua,2023,LAR,39.0
Quentin Johnston,2023,LAC,16.0
