pick
261
4
54
226
205
18
116
143
203
185
192
248
225
129
141
24
114
126
210
48
153
136
139
69
110
149
145
53
114
168
230
59
220
58
243
18
180
6
29
145
218
46
208
127
155
10
109
192
75
72
62
239
251
195
156
135
253
227
206
231
83
121
96
65
195
238
78
237
99
111
11
207
182
171
191
181
69
160
228
154
210
98
39
142
108
150
209
111
36
222
221
202
250
19
13
146
106
45
4
17
