pick
135
4
137
231
12
262
1
2
1
215
1
241
139
224
67
74
218
94
140
3
197
68
133
10
122
167
127
189
53
92
125
164
25
2
1
193
26
171
11
6
66
20
227
181
64
15
86
94
239
8
245
244
231
189
218
144
149
144
247
150
128
188
213
240
1
3
5
40
185
33
2
