age,height,weight,combine_invite,has_college_stats,age_estimated,conference_tier,ras_drills_used,ras_reliable,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,td_int_ratio,yards_per_attempt,completion_pct,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rush_att,rush_long,rush_td,rush_yds,rush_ypc
24.0,73.0,215.0,1,1,0,3,0,0,10.5,31.6,22.2,24.0,5.0,0.0,-0.8558475122559016,-0.3124768190286197,-0.5841621656422606,10,4.761904761904762,3.788732394366197,2.2735465872743936,2.3,7.113702623906706,56.268221574344025,343.0,193.0,0.563,10.0,23.0,2440.0,7.1,39.0,22.0,1.0,-55.0,-1.4
24.0,71.0,205.0,1,1,0,3,0,0,26.0,40.8,16.3,34.0,5.0,0.0,-1.9791473720917765,-1.376587067612573,-1.677867219852175,10,4.166666666666666,3.788732394366197,2.2735465872743936,4.666666666666667,8.763546798029557,73.15270935960592,406.0,297.0,0.732,6.0,28.0,3558.0,8.8,63.0,54.0,7.0,192.0,3.0
23.0,74.0,203.0,1,1,0,3,5,1,15.0,45.7,30.1,64.0,5.0,0.0,-0.2941975823379641,-1.5894091173293636,-0.941803349833664,10,4.166666666666666,3.788732394366197,2.2735465872743936,3.571428571428572,8.053072625698324,69.83240223463687,358.0,250.0,0.698,7.0,25.0,2883.0,8.1,112.0,68.0,11.0,632.0,5.6
22.0,76.0,223.0,1,1,0,3,0,0,7.4,34.4,27.8,77.0,5.0,0.0,0.8291022774979107,0.5388113798385429,0.6839568286682267,10,4.761904761904762,3.788732394366197,2.2735465872743936,2.6666666666666665,8.489411764705883,63.294117647058826,425.0,269.0,0.633,9.0,24.0,3608.0,8.5,112.0,56.0,9.0,449.0,4.0
24.0,75.0,212.0,1,1,0,3,0,0,13.8,31.7,20.0,5.0,5.0,0.0,0.2674523475799732,-0.6317098936038057,-0.1821287730119162,10,4.166666666666666,3.788732394366197,2.2735465872743936,3.0,8.414893617021276,76.59574468085107,94.0,72.0,0.766,2.0,6.0,791.0,8.4,18.0,16.0,1.0,56.0,3.1
25.0,75.0,217.0,1,1,0,3,0,0,25.2,47.3,22.6,7.0,5.0,0.0,0.2674523475799732,-0.099654769311829,0.083898789134072,10,4.166666666666666,3.788732394366197,2.2735465872743936,13.5,9.52887537993921,69.6048632218845,329.0,229.0,0.696,2.0,27.0,3135.0,9.5,104.0,44.0,5.0,430.0,4.1
23.0,72.0,211.0,1,1,0,1,5,1,21.0,38.3,17.3,8.0,5.0,0.0,-1.417497442173839,-0.7381209184622011,-1.07780918031802,10,5.0,3.788732394366197,2.2735465872743936,7.5,8.28343949044586,64.01273885350318,314.0,201.0,0.64,2.0,15.0,2601.0,8.3,102.0,33.0,8.0,431.0,4.2
21.0,75.0,219.0,1,1,0,3,2,0,31.3,36.6,7.2,33.0,4.0,0.0,0.2674523475799732,0.1131672804049616,0.1903098139924674,10,4.761904761904762,3.788732394366197,2.2735465872743936,4.75,9.16376306620209,74.21602787456446,287.0,213.0,0.742,4.0,19.0,2630.0,9.2,57.0,22.0,3.0,146.0,2.6
22.0,78.0,231.0,1,1,0,3,5,1,18.3,35.3,19.5,33.0,5.0,0.0,1.9524021373337848,1.3900995787057056,1.6712508580197456,10,4.347826086956522,3.788732394366197,2.2735465872743936,2.75,7.833780160857909,63.806970509383376,373.0,238.0,0.638,8.0,22.0,2922.0,7.8,40.0,19.0,1.0,-61.0,-1.5
22.0,74.0,219.0,1,1,0,3,5,1,26.8,34.2,10.0,12.0,5.0,0.0,-0.2941975823379641,0.1131672804049616,-0.0905151509665012,10,4.347826086956522,3.788732394366197,2.2735465872743936,4.4,7.352112676056338,60.281690140845065,355.0,214.0,0.603,5.0,22.0,2610.0,7.4,35.0,15.0,0.0,0.0,0.0
24.0,72.0,207.0,1,1,0,1,3,1,,,,,5.0,0.0,-1.417497442173839,-1.1637650178957823,-1.2906312300348106,10,4.166666666666666,3.788732394366197,2.2735465872743936,6.0,8.331210191082803,72.61146496815286,314.0,228.0,0.726,3.0,18.0,2616.0,8.3,40.0,9.0,2.0,-111.0,-2.8
24.0,78.0,224.0,1,1,0,3,0,0,19.0,35.6,15.5,28.0,5.0,0.0,1.9524021373337848,0.6452224046969383,1.2988122710153618,10,4.347826086956522,3.788732394366197,2.2735465872743936,9.333333333333334,7.581005586592179,62.01117318435754,358.0,222.0,0.62,3.0,28.0,2714.0,7.6,44.0,19.0,1.0,-87.0,-2.0
22.0,73.0,222.0,1,1,0,3,3,1,22.9,46.1,24.9,21.0,5.0,0.0,-0.8558475122559016,0.4324003549801476,-0.211723578637877,10,4.347826086956522,3.788732394366197,2.2735465872743936,4.571428571428571,11.72258064516129,71.61290322580646,310.0,222.0,0.716,7.0,32.0,3634.0,11.7,219.0,52.0,18.0,1255.0,5.7
22.0,74.0,217.0,1,1,0,3,0,0,25.0,37.9,14.6,16.0,5.0,0.0,-0.2941975823379641,-0.099654769311829,-0.1969261758248966,10,4.166666666666666,3.788732394366197,2.2735465872743936,1.5,9.2404181184669,65.85365853658537,287.0,189.0,0.659,10.0,15.0,2652.0,9.2,152.0,72.0,20.0,719.0,4.7
23.0,76.0,229.0,1,1,0,2,5,1,-7.0,22.0,29.4,114.0,5.0,0.0,0.8291022774979107,1.1772775289889148,1.0031899032434128,10,4.347826086956522,3.788732394366197,2.2735465872743936,4.333333333333333,7.047021943573668,57.99373040752352,319.0,185.0,0.58,3.0,13.0,2248.0,7.0,30.0,15.0,2.0,-35.0,-1.2
25.0,72.0,207.0,1,1,0,3,0,0,-1.4,34.3,34.8,73.0,5.0,0.0,-1.417497442173839,-1.1637650178957823,-1.2906312300348106,10,4.166666666666666,3.788732394366197,2.2735465872743936,5.166666666666667,8.433510638297872,65.95744680851064,376.0,248.0,0.66,6.0,31.0,3171.0,8.4,86.0,48.0,3.0,346.0,4.0
22.0,74.0,223.0,1,0,0,1,0,0,-4.1,25.5,31.2,2.0,5.0,0.0,-0.2941975823379641,0.5388113798385429,0.1223068987502893,10,4.166666666666666,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
23.0,76.0,210.0,1,1,0,3,0,0,19.1,44.6,25.0,10.0,5.0,0.0,0.8291022774979107,-0.8445319433205963,-0.0077148329113428,10,4.761904761904762,3.788732394366197,2.2735465872743936,10.0,11.65749235474006,72.17125382262996,327.0,236.0,0.722,4.0,40.0,3812.0,11.7,135.0,85.0,10.0,1134.0,8.4
23.0,75.0,221.0,1,1,0,3,0,0,33.1,48.9,17.7,3.0,5.0,0.0,0.2674523475799732,0.3259893301217522,0.2967208388508627,10,4.347826086956522,3.788732394366197,2.2735465872743936,8.0,10.740318906605925,77.90432801822324,439.0,342.0,0.779,6.0,48.0,4715.0,10.7,96.0,22.0,3.0,289.0,3.0
24.0,77.0,235.0,1,1,0,3,2,0,16.2,34.9,19.2,16.0,5.0,0.0,1.390752207415848,1.8157436781392868,1.6032479427775674,10,4.761904761904762,3.788732394366197,2.2735465872743936,4.0,7.926760563380282,64.7887323943662,355.0,230.0,0.648,5.0,20.0,2814.0,7.9,78.0,81.0,7.0,299.0,3.8
21.0,76.0,224.0,1,0,0,3,5,1,19.5,36.5,17.0,47.0,4.0,0.0,0.8291022774979107,0.6452224046969383,0.7371623410974244,10,4.347826086956522,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
24.0,73.0,200.0,1,1,0,3,0,0,6.8,31.1,26.0,4.0,5.0,0.0,-0.8558475122559016,-1.908642191904549,-1.3822448520802255,10,4.761904761904762,3.788732394366197,2.2735465872743936,10.0,8.472222222222221,63.888888888888886,324.0,207.0,0.639,2.0,20.0,2745.0,8.5,73.0,20.0,7.0,176.0,2.4
22.0,74.0,227.0,1,0,0,2,1,0,-3.2,29.9,33.0,127.0,5.0,0.0,-0.2941975823379641,0.9644554792721244,0.3351289484670801,10,5.0,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,78.0,236.0,1,1,0,3,5,1,19.0,35.6,15.5,28.0,5.0,0.0,1.9524021373337848,1.9221547029976824,1.9372784201657336,10,4.347826086956522,3.788732394366197,2.2735465872743936,6.4,8.169117647058824,66.66666666666666,408.0,272.0,0.667,5.0,32.0,3333.0,8.2,49.0,26.0,1.0,21.0,0.4
