age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
23.0,,,,,,0,0,0,3,,0,0,,10.8,27.8,17.4,45.0,5.0,0.0,,,,3,0.5263157894736842,4.724137931034483,1.7091466484798348
24.0,78.0,310.0,5.0,30.5,108.0,1,0,0,3,5.613605314076114,6,1,99.2,2.2,25.9,24.1,2.0,5.0,0.0,0.7890457786959345,-0.3844933977428448,0.2022761904765448,8,1.4285714285714284,3.631578947368421,1.9785478244406585
23.0,,,,,,0,1,0,2,,0,0,,-31.3,16.7,47.8,113.0,5.0,0.0,,,,8,1.4285714285714284,3.631578947368421,1.9785478244406585
22.0,,,,,,0,1,0,3,,0,0,,33.1,48.9,17.7,3.0,5.0,0.0,,,,3,0.5263157894736842,4.3125,1.8874586088176872
23.0,78.0,317.0,5.3,26.0,104.0,1,0,0,3,2.425729486348679,5,1,80.34998119886482,9.1,30.1,22.2,60.0,5.0,0.0,0.7890457786959345,0.1986549221671331,0.4938503504315338,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,78.0,315.0,,,,1,1,0,3,,0,0,,6.7,28.8,22.9,26.0,5.0,0.0,0.7890457786959345,0.032041116478568,0.4105434475872512,8,1.4035087719298245,3.631578947368421,1.9785478244406585
24.0,76.0,307.0,5.21,24.0,102.0,1,0,0,3,2.3633049616278,5,1,83.33308849035926,13.4,35.1,22.3,32.0,5.0,0.0,-0.5685771052367812,-0.6344141062756925,-0.6014956057562368,3,0.5084745762711864,4.724137931034483,1.7091466484798348
23.0,,,,,,0,1,0,3,,0,0,,10.6,24.1,15.1,7.0,5.0,0.0,,,,3,0.588235294117647,4.724137931034483,1.7091466484798348
23.0,77.0,311.0,5.2,33.0,105.0,1,0,0,3,5.68344907698532,6,1,85.0701130912783,7.7,33.7,25.9,24.0,5.0,0.0,0.1102343367295766,-0.3011864948985622,-0.0954760790844928,3,0.5357142857142857,4.724137931034483,1.7091466484798348
22.0,76.0,307.0,5.18,30.0,110.0,1,1,0,2,5.3047731947000925,6,1,85.28042031478408,3.2,24.6,20.8,76.0,5.0,0.0,-0.5685771052367812,-0.6344141062756925,-0.6014956057562368,3,0.5263157894736842,4.3125,1.8874586088176872
