age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
22.0,76.0,223.0,4.6,36.0,127.0,1,1,0,2,3.911666317263795,6,1,99.61013575566128,-2.6,29.3,32.0,125.0,5.0,0.0,1.0835825268725572,0.4271902464185526,0.7553863866455549,7,0.9333333333333332,3.888324873096447,2.0498172482106414,23.33683473389356,5712.0,,,,,,74.0,73.0,9.0,1333.0,18.0
22.0,72.0,228.0,4.39,35.0,118.0,1,1,0,2,4.430229924473407,4,1,122.77410070451558,18.0,39.5,23.4,71.0,5.0,0.0,-0.2647888771708405,0.6394358312273111,0.1873234770282353,2,0.2666666666666666,4.434426229508197,1.7860233537478658,14.710646443822704,6791.0,31.0,78.0,4.0,363.0,11.7,32.0,73.0,8.0,636.0,19.9
23.0,72.0,179.0,4.36,38.0,127.0,1,1,0,3,7.120253290311413,5,1,99.06883810989856,24.3,37.3,14.9,1.0,5.0,0.0,-0.2647888771708405,-1.4405708998985214,-0.8526798885346809,7,0.853658536585366,3.888324873096447,2.0498172482106414,13.916256157635468,5684.0,4.0,30.0,0.0,41.0,10.3,47.0,55.0,4.0,750.0,16.0
21.0,69.0,211.0,,,,1,1,0,1,,0,0,,,,,,4.0,0.0,-1.2760674302033888,-0.0821991571224675,-0.6791332936629282,2,0.2439024390243902,4.434426229508197,1.7860233537478658,,,344.0,77.0,29.0,2497.0,7.3,20.0,16.0,1.0,116.0,5.8
21.0,,,,,,0,1,0,1,,0,0,,20.1,36.3,16.7,48.0,4.0,0.0,,,,2,0.2631578947368421,4.434426229508197,1.7860233537478658,26.39259654742837,5619.0,210.0,80.0,18.0,1341.0,6.4,17.0,22.0,0.0,142.0,8.4
22.0,76.0,250.0,4.68,40.0,126.0,1,1,0,3,5.930489816047532,5,1,104.22852504553892,9.9,35.6,26.1,36.0,5.0,0.0,1.0835825268725572,1.573316404385848,1.3284494656292027,5,0.6578947368421052,4.105882352941176,1.7184123999990772,11.657182272805656,5799.0,,,,,,49.0,44.0,6.0,676.0,13.8
24.0,74.0,220.0,,,,1,1,0,1,1.808525805416968,1,0,,21.0,38.3,17.3,8.0,5.0,0.0,0.4093968248508584,0.2998428955332975,0.354619860192078,7,0.9210526315789472,3.888324873096447,2.0498172482106414,7.630894912736724,5386.0,1.0,13.0,1.0,13.0,13.0,25.0,73.0,5.0,398.0,15.9
22.0,69.0,206.0,4.32,40.5,130.0,1,1,0,3,7.112501527963881,4,1,118.2938669344292,10.0,31.3,22.4,48.0,5.0,0.0,-1.2760674302033888,-0.2944447419312259,-0.7852560860673073,2,0.2439024390243902,4.434426229508197,1.7860233537478658,25.8408188844788,4787.0,183.0,83.0,15.0,1158.0,6.3,22.0,22.0,2.0,79.0,3.6
21.0,71.0,215.0,4.46,37.0,124.0,1,1,0,3,5.751652739602503,3,1,108.67484282052185,23.1,38.1,15.6,24.0,4.0,0.0,-0.6018817281816898,0.0875973107245391,-0.2571422087285753,2,0.2631578947368421,4.434426229508197,1.7860233537478658,33.8946614116804,5582.0,258.0,78.0,18.0,1578.0,6.1,19.0,42.0,2.0,314.0,16.5
23.0,68.0,205.0,4.53,35.5,,1,1,0,3,6.917008604558561,5,1,97.3623502040736,31.3,36.6,7.2,33.0,5.0,0.0,-1.6131602812142385,-0.3368938588929776,-0.975027070053608,2,0.2631578947368421,4.434426229508197,1.7860233537478658,19.33461069500087,5741.0,218.0,54.0,24.0,1028.0,4.7,14.0,20.0,0.0,82.0,5.9
