player,position,school,independent_grade,pick_slot,modal_round,probability,most_likely_team,n_r1_landings,n_any_landings,mean_landing_pick,variance_landing_pick
Tyler Van Dyke,QB,SMU,198.82,219,6,0.24,PIT,0,24,204.12,932.776
Domonique Orange,DL,Iowa State,85.07,220,6,0.34,BUF,0,23,199.52,729.6408
DeMonte Capehart,DL,Clemson,80.66,220,6,0.16,BUF,0,14,214.29,300.2041
Marcus Allen,CB,North Carolina,211.15,221,7,0.14,CIN,0,9,223.89,11.4321
Quintayvious Hutchins,EDGE,Boston College,187.68,222,7,0.28,DET,0,43,224.95,205.9978
Darryl Peterson III,EDGE,Wisconsin,190.71,222,7,0.14,DET,0,22,229.91,177.0826
Ceyair Wright,CB,Nebraska,203.5,223,7,0.34,CIN,0,30,220.23,268.0456
Miller Moss,QB,Louisville,189.7,224,7,0.46,PIT,0,37,178.81,1986.1534
Kaidon Salter,QB,Colorado,201.39,224,7,0.34,PIT,0,19,223.53,189.1967
Preston Stone,QB,Northwestern,207.08,224,7,0.18,PIT,0,9,225.11,50.5432
Joshua Weru,EDGE,Kenya,185.92,225,7,0.2,TEN,0,43,217.56,259.921
Jeadyn Lukus,CB,Clemson,204.52,226,7,0.22,CIN,0,30,223.2,393.0267
Bravion Rogers,CB,Texas A&M,209.89,226,7,0.28,CIN,0,17,217.29,322.4429
Jordan Hudson,WR,SMU,200.4,227,7,0.46,MIA,0,44,201.86,2965.936
Keyshawn James-Newby,EDGE,New Mexico,189.55,228,7,0.22,NYJ,0,38,218.29,795.1004
Dasan McCullough,EDGE,Nebraska,192.77,228,7,0.08,NYJ,0,14,232.64,139.801
TJ Guy,EDGE,Michigan,188.01,229,7,0.22,DET,0,39,216.87,412.2656
Bai Jobe,EDGE,Miami (OH),189.6,229,7,0.12,NYJ,0,27,230.52,234.7682
Jeff Sims,QB,Arizona State,221.7,230,7,0.02,PIT,0,1,230.0,0.0
Grayson Loftis,QB,Charlotte,198.82,230,7,0.26,PIT,0,19,202.32,939.374
Drew Pyne,QB,Bowling Green,228.21,230,7,0.02,PIT,0,1,230.0,0.0
Diego Pavia,QB,Vanderbilt,262.64,230,7,0.56,PIT,0,50,228.78,2.5716
Jonathan Jefferson,DL,SMU,198.6,231,7,0.12,ATL,0,6,223.0,64.0
Uar Bernard,DL,Nigeria,183.0,231,7,0.3,JAX,0,41,204.63,860.7686
Braylon James,WR,TCU,204.77,232,7,0.34,LAR,0,30,232.57,395.1789
Brenan Vernon,DL,Notre Dame,186.68,233,7,0.14,JAX,0,8,235.5,82.5
Cole Wisniewski,S,Texas Tech,185.59,234,7,0.28,MIN,0,47,217.49,975.952
Nyzier Fourqurean,CB,Wisconsin,207.91,236,7,0.16,CIN,0,18,232.17,136.4722
Ahmari Harvey,CB,Georgia Tech,207.4,236,7,0.14,GB,0,8,239.12,101.6094
Bryce Phillips,CB,San Diego State,205.71,236,7,0.16,GB,0,16,231.06,421.0586
Maverick McIvor,QB,Western Kentucky,207.51,237,7,0.18,PIT,0,9,231.89,35.6543
Dequan Finn,QB,Miami (OH),212.65,237,7,0.06,PIT,0,3,237.0,0.0
Maalik Murphy,QB,Oregon State,189.7,237,7,0.54,PIT,0,40,177.5,2404.25
Trebor Pena,WR,Penn State,206.57,238,7,0.26,LAR,0,18,241.83,142.0278
DeShon Singleton,S,Nebraska,197.03,239,7,0.18,CHI,0,14,244.21,38.3112
Jacob Thomas,S,James Madison,212.97,239,7,0.08,CHI,0,4,240.0,1.0
Gabriel Rubio,DL,Notre Dame,186.09,240,7,0.26,JAX,0,22,231.59,155.0599
Xavier Nwankpa,S,Iowa,195.47,241,7,0.18,CHI,0,20,241.6,74.94
Tanner Wall,S,BYU,216.13,241,7,0.16,CHI,0,8,240.25,0.9375
