player,position,school,independent_grade,pick_slot,modal_round,probability,most_likely_team,n_r1_landings,n_any_landings,mean_landing_pick,variance_landing_pick
Kaleb Proctor,DL,Southeastern Louisiana,182.17,122,4,0.34,JAX,0,39,201.92,1704.0197
Darrell Jackson Jr.,DL,Florida State,104.82,122,4,0.26,JAX,0,50,116.5,333.37
Billy Schrauth,IOL,Notre Dame,126.54,123,4,0.42,LAC,0,50,122.4,418.12
Rayshaun Benny,DL,Michigan,125.74,124,4,0.36,JAX,0,50,116.24,547.1424
Anthony Lucas,EDGE,USC,154.79,126,4,0.18,TEN,0,50,128.94,293.2964
Jude Bowry,OT,Boston College,166.91,127,4,0.58,SF,0,50,127.96,61.8784
Carver Willis,OT,Washington,227.33,127,4,0.26,SF,0,13,127.92,432.071
Jeremiah Williams,EDGE,Texas A&M,168.19,128,4,0.18,TEN,0,50,148.38,159.1956
Kamari Ramsey,S,USC,78.61,129,4,0.32,CHI,8,50,97.32,2139.7376
Keionte Scott,CB,Miami (FL),50.0,129,4,0.46,CHI,13,50,84.24,2071.0224
Drew Allar,QB,Penn State,114.66,130,4,0.86,MIA,0,50,130.4,1.24
Travis Burke,OT,Memphis,185.23,131,4,0.62,NE,0,50,130.06,173.0564
Enrique Cruz Jr.,OT,Kansas,219.17,133,4,0.16,NE,0,18,197.61,2256.4599
Jayden Williams,OT,Mississippi,254.79,133,4,0.04,SF,0,2,136.0,9.0
Athan Kaliakmanis,QB,Rutgers,171.47,135,4,0.6,PIT,0,46,147.85,1976.9551
Joe Fagnano,QB,UConn,167.15,135,4,0.68,PIT,0,49,157.49,2065.3519
Jalon Daniels,QB,Kansas,183.97,135,4,0.42,LV,0,41,159.0,1714.7317
Deion Burks,WR,Oklahoma,66.0,136,5,0.48,NO,2,50,133.68,1620.2576
Harold Perkins,LB,LSU,72.0,137,5,0.64,PHI,9,50,102.44,2439.6064
Aamil Wagner,OT,Notre Dame,194.0,138,5,0.46,SF,0,49,151.47,960.0042
P.J. Williams,OT,SMU,243.14,138,5,0.16,SF,0,8,134.88,23.8594
Nolan Rucci,OT,Penn State,223.26,138,5,0.06,CLE,0,8,200.12,1915.3594
Alex Harkey,OT,Oregon,237.07,138,5,0.18,SF,0,9,135.22,14.1728
Dametrious Crownover,OT,Texas A&M,194.35,139,5,0.5,SF,0,49,152.39,833.5435
Isaiah World,OT,Oregon,204.47,139,5,0.28,NE,0,39,169.0,1256.5641
Austin Barber,OT,Florida,195.99,139,5,0.38,NE,0,48,171.85,1003.2912
Mikail Kamara,EDGE,Indiana,165.62,140,5,0.2,TEN,0,50,142.44,202.5264
Wesley Bailey,EDGE,Louisville,186.57,140,5,0.24,ARI,0,47,179.53,1110.0788
Micah Morris,IOL,Georgia,163.59,141,5,0.36,HOU,0,50,165.08,790.1536
George Gumbs Jr.,EDGE,Florida,168.99,142,5,0.2,TEN,0,50,156.02,216.1396
Jack Pyburn,EDGE,LSU,163.81,142,5,0.18,DET,0,50,148.22,224.7716
Nadame Tucker,EDGE,Western Michigan,173.41,142,5,0.3,TEN,0,50,158.38,397.7556
Trey Moore,EDGE,Texas,170.27,142,5,0.18,TEN,0,50,155.12,221.2656
Mason Reiger,EDGE,Wisconsin,172.77,144,5,0.18,NE,0,50,161.12,266.4256
Eli Heidenreich,WR,Navy,209.47,145,5,0.02,NYG,0,1,145.0,0.0
A.J. Haulcy,S,LSU,58.0,146,5,0.3,MIN,1,50,132.54,1652.9684
Julian Neal,CB,Arkansas,148.22,147,5,0.2,DAL,0,50,134.18,474.1876
Malik Muhammad,CB,Texas,41.0,147,5,0.34,DAL,11,50,105.8,2744.76
Cyrus Allen,WR,Cincinnati,183.71,148,5,0.32,MIA,0,50,146.7,1189.61
Donaven Mcculley,WR,Michigan,210.65,150,5,0.34,NO,0,35,182.11,2686.2155
Colbie Young,WR,Georgia,197.06,150,5,0.46,NO,0,48,162.71,2089.3733
Latrell McCutchin,CB,Houston,179.31,152,5,0.6,DAL,0,50,157.08,556.9936
Ephesians Prysock,CB,Washington,161.54,153,5,0.3,BAL,0,50,152.96,618.8784
Jalen Huskey,CB,Maryland,193.45,153,5,0.22,BAL,0,42,193.79,897.9303
Eric McAlister,WR,TCU,180.55,156,5,0.38,NO,0,50,149.32,746.1776
Tyreak Sapp,EDGE,Florida,174.58,157,5,0.54,DET,0,50,157.84,518.4144
Ethan Burke,EDGE,Texas,175.43,159,5,0.22,CAR,0,50,163.54,137.1684
Nyjalik Kelly,EDGE,UCF,172.07,160,5,0.16,CAR,0,50,159.72,270.4816
Andre Fuller,CB,Toledo,187.87,160,5,0.24,DAL,0,50,179.58,597.7636
Charles Demmings,CB,Stephen F. Austin,182.84,160,5,0.36,GB,0,50,166.34,1183.4644
Toriano Pride,CB,Missouri,181.23,160,5,0.28,GB,0,49,177.24,674.3482
Domani Jackson,CB,Alabama,176.71,162,5,0.6,BAL,0,50,160.96,227.2784
D'angelo Ponds,CB,Indiana,88.4,163,5,0.34,BAL,1,50,166.4,822.64
Zakee Wheatley,S,Penn State,61.0,163,5,0.6,MIN,1,50,114.9,1880.89
Cole Brevard,DL,Texas,179.71,164,5,0.42,JAX,0,31,204.81,1398.8658
Rene Konga,DL,Louisville,168.05,164,5,0.36,JAX,0,49,166.22,1436.7863
Zane Durant,DL,Penn State,155.61,165,5,0.48,BUF,0,50,138.78,912.8916
Skyler Gill-Howard,DL,Texas Tech,165.64,166,5,0.4,JAX,0,48,169.5,1266.6667
Damonic Williams,DL,Oklahoma,177.23,166,5,0.66,JAX,0,43,202.05,1272.2769
James Thompson Jr.,DL,Illinois,184.79,166,5,0.36,JAX,0,28,208.5,762.6071
Pat Coogan,IOL,Indiana,171.66,167,5,0.28,HOU,0,44,192.55,1003.9752
James Neal,IOL,Iowa State,177.46,167,5,0.2,HOU,0,25,205.08,947.3536
Sedrick Alexander,RB,Vanderbilt,209.25,170,5,0.2,DEN,0,10,213.9,2569.09
Kaelon Black,RB,Indiana,197.68,170,5,0.7,DEN,0,37,200.7,2650.9657
Jamarion Miller,RB,Alabama,211.16,170,5,0.4,DEN,0,20,215.1,3178.39
Curtis Allen,RB,Virginia Union,209.65,170,5,0.14,DEN,0,7,219.43,1832.5306
Chase Roberts,WR,BYU,219.02,172,5,0.52,NO,0,39,177.31,1466.0592
Tyren Montgomery,WR,John Carroll,195.34,172,5,0.34,NO,0,46,174.54,1287.4655
Kendal Daniels,S,Oklahoma,180.63,174,5,0.38,NE,0,50,194.76,584.1424
Nate Johnson,QB,Utah,190.98,175,5,0.66,LV,0,49,156.86,1496.6122
Mark Gronowski,QB,Iowa,194.17,175,5,0.34,LV,0,33,181.73,1128.8044
Zach Durfee,EDGE,Washington,174.92,176,5,0.18,KC,0,50,168.96,369.3984
