team,position,player_count,target_depth,deficit,need_rank
NE,TE,4,3,0,5
NE,OL,12,8,0,6
NE,EDGE,6,4,0,7
NE,LB,12,5,0,8
NE,CB,7,5,0,9
NE,S,6,4,0,10
NO,DL,2,5,3,1
NO,QB,2,3,1,2
NO,RB,6,3,0,3
NO,WR,11,5,0,4
NO,TE,5,3,0,5
NO,OL,13,8,0,6
NO,EDGE,6,4,0,7
NO,LB,8,5,0,8
NO,CB,8,5,0,9
NO,S,4,4,0,10
NYG,DL,1,5,4,1
NYG,QB,2,3,1,2
NYG,RB,6,3,0,3
NYG,WR,12,5,0,4
NYG,TE,4,3,0,5
NYG,OL,10,8,0,6
NYG,EDGE,5,4,0,7
NYG,LB,10,5,0,8
NYG,CB,11,5,0,9
NYG,S,7,4,0,10
NYJ,QB,4,3,0,1
NYJ,RB,4,3,0,2
NYJ,WR,8,5,0,3
NYJ,TE,3,3,0,4
NYJ,OL,12,8,0,5
NYJ,DL,7,5,0,6
NYJ,EDGE,9,4,0,7
NYJ,LB,6,5,0,8
NYJ,CB,9,5,0,9
NYJ,S,7,4,0,10
PHI,DL,0,5,5,1
PHI,QB,2,3,1,2
PHI,S,3,4,1,3
PHI,RB,4,3,0,4
PHI,WR,7,5,0,5
PHI,TE,5,3,0,6
PHI,OL,12,8,0,7
PHI,EDGE,6,4,0,8
PHI,LB,9,5,0,9
PHI,CB,11,5,0,10
PIT,DL,3,5,2,1
PIT,QB,2,3,1,2
PIT,RB,4,3,0,3
PIT,WR,9,5,0,4
PIT,TE,3,3,0,5
PIT,OL,12,8,0,6
PIT,EDGE,7,4,0,7
PIT,LB,10,5,0,8
PIT,CB,10,5,0,9
PIT,S,5,4,0,10
SEA,DL,2,5,3,1
SEA,CB,4,5,1,2
SEA,QB,3,3,0,3
SEA,RB,9,3,0,4
SEA,WR,8,5,0,5
SEA,TE,4,3,0,6
SEA,OL,13,8,0,7
SEA,EDGE,6,4,0,8
SEA,LB,13,5,0,9
SEA,S,6,4,0,10
SF,DL,2,5,3,1
SF,EDGE,3,4,1,2
SF,QB,4,3,0,3
SF,RB,5,3,0,4
SF,WR,9,5,0,5
SF,TE,5,3,0,6
SF,OL,13,8,0,7
SF,LB,15,5,0,8
SF,CB,8,5,0,9
SF,S,6,4,0,10
TB,DL,3,5,2,1
TB,QB,3,3,0,2
TB,RB,6,3,0,3
TB,WR,8,5,0,4
TB,TE,4,3,0,5
TB,OL,10,8,0,6
TB,EDGE,5,4,0,7
TB,LB,9,5,0,8
TB,CB,5,5,0,9
TB,S,6,4,0,10
TEN,QB,3,3,0,1
TEN,RB,4,3,0,2
TEN,WR,8,5,0,3
TEN,TE,5,3,0,4
TEN,OL,13,8,0,5
TEN,DL,8,5,0,6
TEN,EDGE,9,4,0,7
TEN,LB,6,5,0,8
TEN,CB,6,5,0,9
TEN,S,7,4,0,10
WAS,DL,2,5,3,1
WAS,RB,2,3,1,2
WAS,QB,3,3,0,3
WAS,WR,9,5,0,4
WAS,TE,5,3,0,5
WAS,OL,12,8,0,6
WAS,EDGE,4,4,0,7
WAS,LB,16,5,0,8
WAS,CB,6,5,0,9
WAS,S,8,4,0,10
