pick,round,team,player,position,college,rank,trade_from,trade_to
92,3,DAL,Kaleb Elarms-Orr,LB,TCU,145,,
93,3,LAR,Garrett Nussmeier,QB,LSU,119,,
94,3,MIA,Elijah Sarratt,WR,Indiana,115,,
95,3,NE,Markel Bell,OT,Miami (FL),77,,
96,3,SEA,Malik Muhammad,CB,Texas,112,,
97,3,MIN,Kamari Ramsey,S,USC,81,,
98,3,PHI,Zakee Wheatley,S,Penn State,140,,
99,3,PIT,Carson Beck,QB,Miami (FL),120,,
100,3,JAX,Sam Roush,TE,Stanford,26,,
101,4,TEN,Julian Neal,CB,Arkansas,200,,
102,4,LV,Genesis Smith,S,Arizona,230,,
103,4,NYJ,Drew Allar,QB,Penn State,177,,
104,4,ARI,Reggie Virgil,WR,Texas Tech,210,,
105,4,NYG,Febechi Nwaiwu,IOL,Oklahoma,209,,
106,4,HOU,Charles Demmings,CB,Stephen F. Austin,189,,
107,4,CLE,Will Kacmarek,TE,Ohio State,88,,
108,4,DEN,Jadon Canady,CB,Oregon,58,,
109,4,KC,Hezekiah Masses,CB,California,164,,
110,4,CIN,Chase Bisontis,IOL,Texas A&M,142,,
111,4,DEN,Le'Veon Moss,RB,Texas A&M,138,,
112,4,DAL,Brian Parker II,OT,Duke,161,,
113,4,IND,Jackson Kuwatch,EDGE,Miami (OH),324,,
114,4,PHI,Jude Bowry,OT,Boston College,162,,
115,4,BAL,Cashius Howell,EDGE,Texas A&M,141,,
116,4,TB,Trey Zuhn III,OT,Texas A&M,121,,
117,4,LV,Chris Brazzell,WR,Tennessee,150,,
118,4,DET,Bobby Jamison-Travis,DL,Auburn,338,,
119,4,CAR,Justin Joly,TE,NC State,167,,
120,4,GB,Michael Heldman,EDGE,Central Michigan,270,,
121,4,PIT,Jeff Caldwell,WR,Cincinnati,188,,
122,4,ATL,Brenen Thompson,WR,Mississippi State,180,,
123,4,LAC,Chris Johnson,CB,San Diego State,123,,
124,4,JAX,Parker Brailsford,IOL,Alabama,199,,
125,4,NE,Mason Reiger,EDGE,Wisconsin,207,,
126,4,BUF,Malik Benson,WR,Oregon,235,,
127,4,SF,Mikail Kamara,EDGE,Indiana,228,,
128,4,DET,Tyreak Sapp,EDGE,Florida,214,,
129,4,CHI,Michael Taaffe,S,Texas,186,,
130,4,MIA,Cyrus Allen,WR,Cincinnati,218,,
131,4,NE,Will Lee III,CB,Texas A&M,133,,
