rank,player,position,college,_match_score,_matched_name,_matched_team,def_int,def_int_avg,def_int_td,def_int_yds,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rec,rec_long,rec_td,rec_yds,rec_ypr,rush_att,rush_long,rush_td,rush_yds,rush_ypc,position_group,combine_invite,height,weight,40_yard,vertical,bench_press,broad_jump,three_cone,shuttle,age,age_estimated,has_passing,has_rushing,has_receiving,has_defensive,has_college_stats,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,position_rank,positions_ahead,draft_class_position_depth,years_in_college,is_underclassman,experience_score,height_z,weight_z,size_score,team_total_yards,dominator_rating,td_int_ratio,yards_per_attempt,completion_pct,dual_threat_score,college_starts_sweet_spot,conference_tier,boards_count,rank_high,rank_low,rank_stddev,rank_range,visit_count,top30_visit_flag,visited_teams,visit_cancelled_flag,stock_direction,senior_bowl_standout,senior_bowl_invite,cfp_participant,injury_dnp_flag,acl_flag,shoulder_flag,spine_flag,has_injury_flag,heisman_flag,major_award_flag,pff_minus_consensus,pff_grade_3yr,pff_waa,trajectory_up_down,intel_link_max,intel_top_team,first_round_mock_rate,drill_missing_40,drill_missing_vertical,drill_missing_broad,positional_value_prior,positional_value_adjusted,is_position_rank_1,position_gap_to_next,position_elite_flag,positional_value_tension,position_historical_round_avg,position_historical_round_std,visit_exclusivity,market_consensus_score,position_scarcity_vs_historical,pff_rank,explosion_index,sack_projection_proxy,consensus_pct_within_position,scouts_grade_primary,scouts_grade_secondary,scouts_grade_proxy,analyst_disagreement_flag,analyst_herding_score,late_consensus_move,betting_implied_prob
63.0,Carson Beck,QB,Miami (FL),100.0,Carson Beck,Miami,,,,,,,,,,,,353.0,263.0,0.745,10.0,25.0,3072.0,8.7,1.0,14.0,1.0,14.0,14.0,38.0,11.0,1.0,39.0,1.0,QB,1,,233.0,,,,,,,22.0,1,1,1,1,0,1,,0,0,,20.7,34.2,14.3,7.0,6,5,37,5.0,0.0,50.0,,1.6029216284224963,1.6029216284224963,,,2.5,8.702549575070822,74.5042492917847,24.5,0.0,3,,,,,,1,1,CLE,0,0,1,1,1,1,0,0,0,1,0,0,,,,,0,,0.5,1,1,1,10,2.127659574468085,0,0,0,0,3.788732394366197,2.2735465872743936,0,0.7360980207351554,-11.776765859603485,,,,0.8611111111111112,,86.11111111111111,86.11111111111111,0,,0,
126.0,Tacario Davis,CB,Washington,100.0,Tacario Davis,Washington,2.0,17.0,0.0,34.0,4.0,0.0,0.0,16.0,1.0,20.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,194.0,4.41,37.0,,123.0,,,22.0,1,0,0,0,1,1,6.487269720391506,3,1,102.58346580747288,18.4,34.5,15.3,41.0,76,75,437,5.0,0.0,50.0,,-0.9950437621840792,-0.9950437621840792,,,,,,,,3,,,,,,1,1,CHI,1,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.5,0,0,0,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,1,0.7351555136663525,-12.273501994074577,,0.7121382420359604,0.0,0.7848101265822784,,78.48101265822784,78.48101265822784,0,,0,
135.0,Harold Perkins,LB,LSU,100.0,Harold Perkins,LSU,3.0,15.7,0.0,47.0,2.0,6.0,4.0,27.0,8.0,55.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,73.0,223.0,,,,,,,21.0,1,0,0,0,1,1,,0,0,,10.3,25.8,16.1,12.0,77,76,437,4.0,0.0,40.0,-0.3581317886909173,-0.3154042687433423,-0.3367680287171298,,,,,,,,3,,,,,,2,1,"LAC,SF",1,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.5,1,1,1,5,0.1118568232662192,0,0,0,0,4.166666666666667,1.8347152500215944,0,0.7342130065975494,-6.086976429335179,,,,0.8214285714285714,,82.14285714285714,82.14285714285714,0,,0,
131.0,Keyshaun Elliott,LB,Arizona State,100.0,Keyshaun Elliott,Arizona State,,,,,2.0,4.0,7.0,54.0,14.0,98.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,74.0,231.0,,,,,,,22.0,1,0,0,0,1,1,0.0,1,0,,3.9,28.3,22.7,43.0,78,77,437,5.0,0.0,50.0,0.098339466566765,-0.1279175119321045,-0.0147890226826697,,,,,,,,3,,,,,,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.0,1,1,0,5,0.1118568232662192,0,0,0,0,4.166666666666667,1.8347152500215944,0,0.5617342130065975,-6.086976429335179,,,,0.8035714285714286,,80.35714285714286,80.35714285714286,0,,0,
141.0,Dontay Corleone,DL,Cincinnati,100.0,Dontay Corleone,Cincinnati,,,,,0.0,2.0,0.0,5.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,340.0,,,,,,,22.0,1,0,0,0,1,1,,0,0,,4.5,30.2,26.4,58.0,79,78,437,5.0,0.0,50.0,,2.42658954962101,2.42658954962101,,,,,,,,3,,,,,,2,1,"BUF,CIN",0,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.5,1,1,1,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,1,0.7323279924599434,-6.3613121393963565,,,,0.8333333333333334,,83.33333333333334,83.33333333333334,0,,0,
125.0,Kaleb Elarms-Orr,LB,TCU,100.0,Kaleb Elarms-Orr,TCU,,,,,2.0,5.0,4.0,57.0,9.5,119.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,74.0,234.0,,,4.41,,,,22.0,1,0,0,0,1,1,0.0,3,1,,8.3,32.9,23.9,50.0,80,79,437,5.0,0.0,50.0,0.098339466566765,-0.0576099781278904,0.0203647442194373,,,,,,,,3,,,,,,1,1,BUF,0,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.5,1,0,0,5,0.1118568232662192,0,0,0,0,4.166666666666667,1.8347152500215944,0,0.7313854853911403,-6.086976429335179,,,,0.7857142857142857,,78.57142857142857,78.57142857142857,0,,0,
124.0,Tyler Onyedim,DL,Texas A&M,100.0,Tyler Onyedim,Texas A&M,,,,,0.0,2.0,2.0,18.0,8.0,45.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,292.0,,,,,,,22.0,1,0,0,0,1,1,0.0,1,0,,20.7,38.0,16.4,18.0,81,80,437,5.0,0.0,50.0,,1.3016690087535834,1.3016690087535834,,,,,,,,3,,,,,,2,1,"ATL,TB",0,0,0,0,1,1,0,0,0,1,0,0,,,,,0,,0.5,1,1,0,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,0,0.7304429783223374,-6.3613121393963565,,,,0.8181818181818181,,81.81818181818181,81.81818181818181,0,,0,
133.0,Eli Raridon,TE,Notre Dame,100.0,Eli Raridon,Notre Dame,,,,,,,,,,,,,,,,,,,32.0,65.0,0.0,482.0,15.1,,,,,,SKILL,1,,245.0,,,,,,,22.0,1,0,0,1,0,1,0.0,2,0,,24.4,40.0,16.3,47.0,33,32,192,5.0,0.0,50.0,,1.3610708195770895,1.3610708195770895,5514.0,8.741385564018861,,,,,,3,,,,,,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,,,,1.0,0,,0.0,1,0,0,5,0.2475247524752475,0,0,0,0,4.105882352941176,1.7184123999990772,0,0.5579641847313854,-9.09437144246762,,,,0.8292682926829268,,82.92682926829268,82.92682926829268,0,,0,
142.0,Kaytron Allen,RB,Penn State,100.0,Kaytron Allen,Penn State,,,,,,,,,,,,,,,,,,,18.0,11.0,0.0,68.0,3.8,210.0,67.0,15.0,1303.0,6.2,SKILL,1,71.0,216.0,,,,,,,22.0,1,0,1,1,0,1,,0,0,,18.1,35.1,18.8,22.0,34,33,192,5.0,0.0,50.0,-0.6018817281816898,0.1300464276862908,-0.2359176502476995,4706.0,29.13302167445814,,,,,,3,,,,,,2,1,"KC,LAC",0,0,0,0,0,1,0,0,0,1,0,0,,,,1.0,0,,0.5,1,1,1,2,0.099009900990099,0,0,0,0,4.434426229508197,1.7860233537478658,0,0.7285579641847313,-10.41694871413028,,,,0.9,,90.0,90.0,0,,0,
139.0,Zane Durant,DL,Penn State,100.0,Zane Durant,Penn State,1.0,14.0,0.0,14.0,2.0,1.0,4.0,14.0,4.5,25.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,73.0,290.0,,,,,,,22.0,1,0,0,0,1,1,0.0,2,0,,18.1,35.1,18.8,22.0,82,81,437,5.0,0.0,50.0,-0.3581317886909173,1.254797319550774,0.4483327654299284,,,,,,,,3,,,,,,2,1,"BUF,CIN",0,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,0.5,1,0,0,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,0,0.7276154571159283,-6.3613121393963565,,,,0.803030303030303,,80.3030303030303,80.3030303030303,0,,0,
143.0,Nick Singleton,RB,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKILL,0,,,,,,,,,,0,0,0,0,0,0,,0,0,,18.1,35.1,18.8,22.0,35,34,192,,,,,,,4706.0,0.0,,,,,,3,,,,,,1,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0.5,0,0,0,2,0.099009900990099,0,0,0,0,4.434426229508197,1.7860233537478658,0,0.7266729500471253,-10.41694871413028,,,,0.88,,88.0,88.0,0,,0,
140.0,Ephesians Prysock,CB,Washington,100.0,Ephesians Prysock,Washington,1.0,0.0,0.0,0.0,6.0,0.0,0.0,28.0,1.0,45.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,196.0,4.45,39.0,,124.0,,,22.0,1,0,0,0,1,1,6.878394363563227,3,1,99.96455179214908,18.4,34.5,15.3,41.0,83,82,437,5.0,0.0,50.0,,-0.9481720729812696,-0.9481720729812696,,,,,,,,3,,,,,,2,1,"PIT,SF",0,0,1,1,0,1,0,0,0,1,0,0,,,,,0,,0.5,0,0,0,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,0,0.7257304429783223,-12.273501994074577,,0.7487446114511417,0.0,0.7721518987341772,,77.21518987341773,77.21518987341773,0,,0,
136.0,Rayshaun Benny,DL,Michigan,100.0,Rayshaun Benny,Michigan,,,,,2.0,2.0,1.5,17.0,3.0,31.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,75.0,298.0,,,,,,,22.0,1,0,0,0,1,1,,0,0,,12.4,30.9,17.0,24.0,84,83,437,5.0,0.0,50.0,0.5548107218244475,1.4422840763620115,0.9985473990932296,,,,,,,,3,,,,,,1,1,DAL,1,0,1,1,0,1,0,0,0,1,0,0,,79.3,,,0,,0.5,1,1,1,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,1,0.7247879359095193,-6.3613121393963565,,,,0.7878787878787878,,78.78787878787878,78.78787878787878,0,,0,
