rank,player,position,college,_match_score,_matched_name,_matched_team,def_int,def_int_avg,def_int_td,def_int_yds,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rec,rec_long,rec_td,rec_yds,rec_ypr,rush_att,rush_long,rush_td,rush_yds,rush_ypc,position_group,combine_invite,height,weight,40_yard,vertical,bench_press,broad_jump,three_cone,shuttle,age,age_estimated,has_passing,has_rushing,has_receiving,has_defensive,has_college_stats,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,position_rank,positions_ahead,draft_class_position_depth,years_in_college,is_underclassman,experience_score,height_z,weight_z,size_score,team_total_yards,dominator_rating,td_int_ratio,yards_per_attempt,completion_pct,dual_threat_score,college_starts_sweet_spot,conference_tier,boards_count,rank_high,rank_low,rank_stddev,rank_range,visit_count,top30_visit_flag,visited_teams,visit_cancelled_flag,stock_direction,senior_bowl_standout,senior_bowl_invite,cfp_participant,injury_dnp_flag,acl_flag,shoulder_flag,spine_flag,has_injury_flag,heisman_flag,major_award_flag,pff_minus_consensus,pff_grade_3yr,pff_waa,trajectory_up_down,intel_link_max,intel_top_team,first_round_mock_rate,drill_missing_40,drill_missing_vertical,drill_missing_broad,positional_value_prior,positional_value_adjusted,is_position_rank_1,position_gap_to_next,position_elite_flag,positional_value_tension,position_historical_round_avg,position_historical_round_std,visit_exclusivity,market_consensus_score,position_scarcity_vs_historical,pff_rank,explosion_index,sack_projection_proxy,consensus_pct_within_position,scouts_grade_primary,scouts_grade_secondary,scouts_grade_proxy,analyst_disagreement_flag,analyst_herding_score,late_consensus_move,betting_implied_prob
1.0,Fernando Mendoza,QB,Indiana,100.0,Fernando Mendoza,Indiana,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,316.0,226.0,0.715,6.0,33.0,2980.0,9.4,,,,,,69.0,20.0,6.0,240.0,3.5,QB,1,,236.0,,,,,,,21.0,1,1,1,0,1,1,,0,0,,32.4,40.8,9.9,10.0,1,0,37,4.0,0.0,40.0,,1.9221547029976824,1.9221547029976824,,,5.5,9.430379746835444,71.51898734177216,150.0,0.0,3,,,,,,2,1,"LAC,LV",0,-1,1,1,1,1,0,0,1,1,0,0,0.0,91.6,,,3,LV,0.5,1,1,1,10,2.127659574468085,1,33,1,0,3.788732394366197,2.2735465872743936,0,0.9710964498900408,-11.776765859603485,1.0,,,1.0,91.6,100.0,91.6,0,1.0,1,0.0099009900990099
2.0,Arvell Reese,LB,Ohio State,100.0,Arvell Reese,Ohio State,,,,,2.0,4.0,6.5,31.0,10.0,62.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,241.0,4.46,,,,,,21.0,1,0,0,0,1,1,0.0,1,1,,30.1,37.6,7.7,20.0,1,0,437,4.0,0.0,40.0,,0.1064409340819426,0.1064409340819426,,,,,,,,3,,,,,,2,1,"ATL,CLE",0,0,0,0,1,1,0,0,0,1,0,0,0.0,75.8,,,3,NYJ,0.5,1,0,1,5,0.1118568232662192,1,1,0,0,4.166666666666667,1.8347152500215944,0,0.9701539428212378,-6.086976429335179,2.0,,,1.0,75.8,100.0,75.8,0,1.0,0,0.0099009900990099
3.0,David Bailey,EDGE,Texas Tech,100.0,David Bailey,Texas Tech,,,,,1.0,10.0,13.5,27.0,17.5,42.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,251.0,4.5,35.0,,117.0,,,22.0,1,0,0,0,1,1,0.0,2,1,,27.6,39.3,12.3,46.0,2,1,437,5.0,0.0,50.0,,0.3407993800959898,0.3407993800959898,,,,,,,,3,,,,,,2,1,"ARI,CIN",0,0,0,0,1,1,0,0,0,1,0,0,3.0,93.3,,,3,ARI,0.5,1,0,0,9,0.2013422818791946,0,0,0,0,,,0,0.9692114357524348,,6.0,,,1.0,93.3,100.0,93.3,0,0.25,0,0.3846153846153846
4.0,Jeremiyah Love,RB,Notre Dame,100.0,Jeremiyah Love,Notre Dame,,,,,,,,,,,,,,,,,,,27.0,36.0,3.0,280.0,10.4,199.0,94.0,18.0,1372.0,6.9,SKILL,1,72.0,212.0,4.36,,,,,,21.0,1,0,1,1,0,1,0.0,1,1,,24.4,40.0,16.3,47.0,1,0,192,4.0,0.0,40.0,-0.2647888771708405,-0.0397500401607158,-0.1522694586657781,5514.0,29.960101559666303,,,,,,3,,,,,,1,1,CIN,1,-1,0,0,0,1,0,0,0,1,0,0,-1.0,93.1,,1.0,3,TEN,0.5,1,0,1,2,0.099009900990099,1,3,0,1,4.434426229508197,1.7860233537478658,0,0.9682689286836318,-10.41694871413028,3.0,,,1.0,93.1,100.0,93.1,0,0.5,1,0.1111111111111111
5.0,Sonny Styles,LB,Ohio State,100.0,Sonny Styles,Ohio State,1.0,5.0,0.0,5.0,3.0,4.0,0.5,45.0,5.0,81.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,77.0,244.0,4.46,43.5,4.26,134.0,7.09,4.26,22.0,1,0,0,0,1,1,9.99,4,1,,30.1,37.6,7.7,20.0,3,2,437,5.0,0.0,50.0,1.467753232339812,0.1767484678861568,0.8222508501129845,,,,,,,,3,,,,,,2,1,"CIN,CLE",1,0,0,0,1,1,0,0,0,1,0,0,-1.0,88.6,,,0,,0.5,1,0,0,5,0.1118568232662192,0,0,0,0,4.166666666666667,1.8347152500215944,0,0.8529688972667295,-6.086976429335179,4.0,,,0.9821428571428572,88.6,98.21428571428572,88.6,0,0.5,0,0.4545454545454545
6.0,Francis Mauigoa,OT,Miami (FL),100.0,Francis Mauigoa,Miami,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,OL,1,77.5,329.0,5.12,29.0,,106.0,7.7,4.59,21.0,1,0,1,0,0,1,,0,1,,20.7,34.2,14.3,7.0,1,0,62,4.0,0.0,40.0,0.4496400577127556,1.198337756298524,0.8239889070056399,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,1,1,0,0,0,1,0,0,1.0,83.6,,,0,,0.5,1,1,1,8,1.1111111111111112,1,5,0,0,5.0,2.273030282830976,1,0.8520263901979265,-16.420433326518232,7.0,,,1.0,82.6,100.0,82.6,0,0.5,0,0.4444444444444444
7.0,Carnell Tate,WR,Ohio State,100.0,Carnell Tate,Ohio State,,,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,,,,,,48.0,57.0,9.0,838.0,17.5,2.0,8.0,0.0,16.0,8.0,SKILL,1,,192.0,4.53,,,,,,21.0,1,0,1,1,1,1,0.0,1,1,,30.1,37.6,7.7,20.0,2,1,192,4.0,0.0,40.0,,-0.8887323793957494,-0.8887323793957494,5922.0,14.420803782505912,,,,,,3,,,,,,2,1,"CLE,DAL",0,1,0,0,1,1,0,0,0,1,0,0,3.0,88.6,,1.0,2,WAS,0.5,1,0,1,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.927322232694523,-23.153510187736227,10.0,,,1.0,88.6,100.0,88.6,0,0.25,1,0.0109890109890109
8.0,Caleb Downs,S,Ohio State,100.0,Caleb Downs,Ohio State,2.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,5.0,60.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,206.0,4.52,35.5,,,,,21.0,1,0,0,0,1,1,,0,1,,30.1,37.6,7.7,20.0,4,3,437,4.0,0.0,40.0,,-0.7138136269672225,-0.7138136269672225,,,,,,,,3,,,,,,1,1,CIN,0,1,0,0,1,1,0,0,0,1,0,0,0.0,87.5,,,3,DAL,0.5,1,1,1,4,0.0894854586129753,0,0,0,1,4.557692307692308,1.8933678007611927,0,0.9644989004084196,-5.27476736280448,8.0,,,1.0,87.5,100.0,87.5,0,1.0,1,0.0151515151515151
9.0,Rueben Bain,EDGE,Miami (FL),95.0,Rueben Bain Jr.,Miami,1.0,12.0,0.0,12.0,1.0,4.0,4.5,19.0,7.5,37.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,263.0,,,,,,,21.0,1,0,0,0,1,1,,0,0,,20.7,34.2,14.3,7.0,5,4,437,4.0,0.0,40.0,,0.6220295153128464,0.6220295153128464,,,,,,,,3,,,,,,1,1,CIN,1,0,1,1,1,1,0,0,0,1,0,0,-4.0,92.8,,,2,CIN,0.5,1,1,1,9,0.2013422818791946,0,0,0,0,,,0,0.925437218556917,,5.0,,,0.9875,92.8,98.75,92.8,0,0.2,0,0.4545454545454545
10.0,Mansoor Delane,CB,LSU,100.0,Mansoor Delane,LSU,2.0,0.0,0.0,0.0,11.0,1.0,0.0,29.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,187.0,4.38,,,,,,22.0,1,0,0,0,1,1,,0,1,,10.3,25.8,16.1,12.0,6,5,437,5.0,0.0,50.0,,-1.1590946743939123,-1.1590946743939123,,,,,,,,3,,,,,,2,1,"BUF,CIN",0,0,0,0,0,1,0,0,0,1,0,0,-1.0,90.5,,,0,,0.5,1,1,1,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,1,0.8482563619227145,-12.273501994074577,9.0,,,1.0,90.5,100.0,90.5,0,0.5,0,0.0277777777777777
11.0,Spencer Fano,OT,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL,1,77.5,311.0,4.91,32.0,,111.0,7.34,4.67,21.0,1,0,0,0,0,0,7.210843427589211,5,1,107.01986928782048,22.2,39.7,17.5,60.0,2,1,62,4.0,0.0,40.0,0.4496400577127556,-0.3011864948985622,0.0742267814070966,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,1.0,83.9,,,0,,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,0,0.8473138548539114,-16.420433326518232,12.0,,,0.9836065573770492,83.9,98.36065573770492,83.9,0,0.5,0,0.0833333333333333
12.0,Makai Lemon,WR,USC,100.0,Makai Lemon,USC,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,24.0,24.0,79.0,74.0,11.0,1156.0,14.6,9.0,7.0,2.0,4.0,0.4,SKILL,1,,192.0,4.47,,,,,,21.0,1,1,1,1,1,1,,0,1,,16.9,38.9,21.0,30.0,3,2,192,4.0,0.0,40.0,,-0.8887323793957494,-0.8887323793957494,6047.0,19.18306598313213,,,,,,3,,,,,,2,1,"CLE,DAL",0,0,0,0,0,1,0,0,0,1,0,0,3.0,90.8,,1.0,0,,0.5,1,1,1,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.8463713477851083,-23.153510187736227,15.0,,,0.9897959183673468,90.8,98.9795918367347,90.8,0,0.25,0,0.0140845070422535
,Monroe Freeling,OT,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL,1,79.375,315.0,4.93,33.5,,115.0,,,21.0,1,0,0,0,0,0,8.366962888496124,3,1,106.64803853661112,24.1,37.0,14.8,17.0,3,2,62,4.0,0.0,40.0,1.7224115113996763,0.032041116478568,0.8772263139391223,,,,,,,,3,,,,,,2,1,"CLE,DEN",0,1,0,0,1,1,0,0,0,1,0,0,0.0,72.3,,,3,CLE,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,0,0.9597863650644044,-16.420433326518232,13.0,,,0.9672131147540984,72.3,96.72131147540983,72.3,0,1.0,1,0.0588235294117647
15.0,Jermod McCoy,CB,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF,1,,188.0,4.37,38.0,14.0,127.0,,,21.0,1,0,0,0,0,0,2.1428388682633464,1,1,,15.0,39.3,25.4,36.0,7,6,437,4.0,0.0,40.0,,-1.1356588297925074,-1.1356588297925074,,,,,,,,3,,,,,,2,1,"CHI,CIN",0,0,0,0,0,1,1,0,0,1,0,0,3.0,81.0,,,0,,0.5,1,1,1,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,0,0.8444863336475023,-12.273501994074577,17.0,,,0.9873417721518988,,98.73417721518987,98.73417721518987,0,0.25,0,0.024390243902439
14.0,Jordyn Tyson,WR,Arizona State,100.0,Jordyn Tyson,Arizona State,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,57.0,8.0,711.0,11.7,2.0,3.0,1.0,4.0,2.0,SKILL,1,,203.0,,,26.0,,,,21.0,1,1,1,1,0,1,,0,0,,3.9,28.3,22.7,43.0,4,3,192,4.0,0.0,40.0,,-0.421792092816481,-0.421792092816481,5416.0,13.201624815361887,,,,,,3,,,,,,2,1,"BUF,DAL",0,-1,0,0,0,1,0,0,0,1,0,0,4.0,85.0,,,0,,0.5,1,1,1,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.8435438265786993,-23.153510187736227,19.0,,,0.979591836734694,82.9,97.95918367346938,82.9,0,0.2,1,0.0344827586206896
16.0,Olaivavega Ioane,IOL,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEF,1,76.25,320.0,,31.5,,104.0,,,21.0,1,0,0,0,0,0,1.326878310582711,2,0,,18.1,35.1,18.8,22.0,8,7,437,4.0,0.0,40.0,1.1253997908965503,1.9578726575929155,1.541636224244733,,,,,,,,3,,,,,,1,1,PIT,0,0,0,0,0,1,0,0,0,1,0,0,0.0,80.0,,,0,,0.5,1,0,0,3,0.0671140939597315,0,0,0,0,,,1,0.8426013195098963,,16.0,0.1059294757170445,,1.0,80.0,100.0,80.0,0,1.0,0,0.0151515151515151
17.0,Kenyon Sadiq,TE,Oregon,100.0,Kenyon Sadiq,Oregon,,,,,,,,,,,,,,,,,,,40.0,30.0,8.0,490.0,12.3,3.0,3.0,0.0,6.0,2.0,SKILL,1,,241.0,4.39,43.5,26.0,133.0,,,21.0,1,0,1,1,0,1,0.0,2,1,,25.9,38.7,13.5,6.0,5,4,192,4.0,0.0,40.0,,1.1912743517300828,1.1912743517300828,6783.0,7.312398643667993,,,,,,3,,,,,,2,1,"DAL,DEN",0,0,0,0,1,1,0,0,0,1,0,0,-3.0,70.4,,,0,,0.5,1,0,0,5,0.2475247524752475,0,0,0,0,4.105882352941176,1.7184123999990772,0,0.8416588124410932,-9.09437144246762,14.0,,,1.0,70.4,100.0,70.4,0,0.25,0,0.0217391304347826
18.0,Dillon Thieneman,S,Oregon,100.0,Dillon Thieneman,Oregon,2.0,0.0,0.0,0.0,4.0,1.0,1.0,31.0,1.5,64.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,201.0,4.35,41.0,18.0,125.0,,,21.0,1,0,0,0,1,1,6.78308595675268,4,1,112.27137079521071,25.9,38.7,13.5,6.0,9,8,437,4.0,0.0,40.0,,-0.8309928499742462,-0.8309928499742462,,,,,,,,3,,,,,,2,1,"CAR,CHI",0,1,0,0,1,1,0,0,0,1,0,0,-7.0,91.0,,,0,,0.5,0,0,0,4,0.0894854586129753,0,0,0,0,4.557692307692308,1.8933678007611927,1,0.8407163053722903,-5.27476736280448,11.0,0.8493306675840114,0.8493306675840114,0.9803921568627452,91.0,98.0392156862745,91.0,0,0.125,1,0.024390243902439
19.0,Kadyn Proctor,OT,Alabama,100.0,Kadyn Proctor,Alabama,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,16.0,3.2,OL,1,78.625,352.0,5.21,32.5,25.0,109.0,,,21.0,1,0,1,0,0,1,5.040259926853072,4,1,95.54803631467902,14.8,32.2,16.1,2.0,4,3,62,4.0,0.0,40.0,1.2133029299249083,3.114396521717023,2.163849725820966,,,,,,,,3,,,,,,1,1,SF,0,0,0,0,1,1,0,0,0,1,0,0,,86.1,,,0,,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,0,0.8397737983034872,-16.420433326518232,,,,0.9508196721311476,,95.08196721311477,95.08196721311477,0,,0,0.024390243902439
20.0,Keldric Faulk,EDGE,Auburn,100.0,Keldric Faulk,Auburn,,,,,4.0,6.0,2.0,23.0,5.0,27.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,276.0,4.67,35.0,17.0,117.0,,,21.0,1,0,0,0,1,1,0.0,1,1,,11.6,28.3,17.4,15.0,10,9,437,4.0,0.0,40.0,,0.9266954951311078,0.9266954951311078,,,,,,,,3,,,,,,1,1,KC,0,0,0,0,0,1,0,0,0,1,0,0,2.0,75.8,,,0,,0.5,1,1,0,9,0.2013422818791946,0,0,0,0,,,1,0.8388312912346843,,22.0,,,0.975,75.8,97.5,75.8,0,0.3333333333333333,0,0.0196078431372549
21.0,Akheem Mesidor,EDGE,Miami (FL),100.0,Akheem Mesidor,Miami,,,,,0.0,5.0,7.0,26.0,12.0,46.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,75.0,259.0,,,,,,,22.0,1,0,0,0,1,1,,0,0,,20.7,34.2,14.3,7.0,11,10,437,5.0,0.0,50.0,0.5548107218244475,0.5282861369072276,0.5415484293658375,,,,,,,,3,,,,,,3,1,"CHI,CLE,SF",0,0,0,0,1,1,0,0,0,1,0,0,-1.0,92.5,,,0,,0.5,1,1,1,9,0.2013422818791946,0,0,0,0,,,0,0.8378887841658812,,20.0,,,0.9625,92.5,96.25,92.5,0,0.5,0,
22.0,Omar Cooper Jr.,WR,Indiana,100.0,Omar Cooper Jr.,Indiana,,,,,,,,,,,,,,,,,,,59.0,58.0,11.0,828.0,14.0,3.0,75.0,1.0,74.0,24.7,SKILL,1,,196.0,4.42,37.0,,,,,21.0,1,0,1,1,0,1,0.0,2,1,,32.4,40.8,9.9,10.0,6,5,192,4.0,0.0,40.0,,-0.7189359115487427,-0.7189359115487427,7301.0,12.354471990138336,,,,,,3,,,,,,1,1,SF,0,-1,0,0,0,1,0,0,0,1,0,0,2.0,87.4,,,2,WAS,0.5,1,0,0,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.9131846266624776,-23.153510187736227,24.0,,,0.9693877551020408,87.4,96.93877551020408,87.4,0,0.3333333333333333,1,0.0344827586206896
23.0,Emmanuel McNeil-Warren,S,Toledo,95.45454545454544,Emmanuel Mcneil-Warren,Toledo,2.0,18.5,1.0,37.0,5.0,3.0,0.5,35.0,5.5,73.0,1.0,,,,,,,,,,,,,,,,,,DEF,1,,201.0,4.52,35.5,,122.0,,,22.0,1,0,0,0,1,1,5.665503546632739,3,1,96.31020645590212,6.0,25.8,18.5,114.0,12,11,437,5.0,0.0,50.0,,-0.8309928499742462,-0.8309928499742462,,,,,,,,2,,,,,,2,1,"BAL,CIN",0,0,0,0,0,1,0,0,0,1,0,0,-2.0,91.9,,,0,,0.5,0,0,0,4,0.0894854586129753,0,0,0,0,4.557692307692308,1.8933678007611927,0,0.8360037700282752,-5.27476736280448,21.0,0.5464445511652435,0.2732222755826217,0.9607843137254902,91.9,96.07843137254902,91.9,0,0.3333333333333333,0,
25.0,Blake Miller,OT,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL,1,78.75,317.0,5.04,32.0,32.0,113.0,,,22.0,1,0,0,0,0,0,7.126547393840952,4,1,98.25781721290365,9.5,27.5,18.9,57.0,5,4,62,5.0,0.0,50.0,1.2981543601707028,0.1986549221671331,0.748404641168918,,,,,,,,3,,,,,,1,1,CLE,0,0,0,0,0,1,0,0,0,1,0,0,1.0,78.5,,,0,,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,1,0.8350612629594721,-16.420433326518232,25.0,,,0.9344262295081968,78.5,93.44262295081968,78.5,0,0.5,0,0.0140845070422535
26.0,Caleb Lomu,OT,Utah,100.0,Caleb Lomu,Utah,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,OL,1,78.25,313.0,4.99,32.5,,113.0,,,20.0,1,0,0,0,1,1,7.418081357897236,3,1,100.9653024818696,22.2,39.7,17.5,60.0,6,5,62,3.0,1.0,30.0,0.958748639187524,-0.1345726892099971,0.4120879749887634,,,,,,,,3,,,,,,2,1,"CIN,SF",0,0,0,0,0,1,0,0,0,1,0,0,,75.0,,,0,,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,0,0.8341187558906691,-16.420433326518232,,,,0.918032786885246,,91.8032786885246,91.8032786885246,0,,0,0.0131578947368421
24.0,KC Concepcion,WR,Texas A&M,100.0,Kevin Concepcion,Texas A&M,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,57.0,48.0,9.0,886.0,15.5,8.0,16.0,1.0,63.0,7.9,SKILL,0,,,,,,,,,,0,0,1,1,1,1,,0,0,,20.7,38.0,16.4,18.0,7,6,192,,,,,,,5783.0,16.410167733010546,,,,,,3,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0.0,0,0,0,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.6616399622997172,-23.153510187736227,,,,0.9591836734693876,,95.91836734693877,95.91836734693877,0,,0,
,Denzel Boston,WR,Washington,100.0,Denzel Boston,Washington,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,56.0,48.0,10.0,755.0,13.5,,,,,,SKILL,1,,212.0,,,4.28,,,,21.0,1,1,0,1,1,1,0.0,2,0,,18.4,34.5,15.3,41.0,8,7,192,4.0,0.0,40.0,,-0.0397500401607158,-0.0397500401607158,5346.0,14.122708567153012,,,,,,3,,,,,,2,1,"BAL,SF",0,-1,0,0,0,1,0,0,0,1,0,0,,81.5,,,0,,0.5,1,1,0,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.8322337417530631,-23.153510187736227,,,,0.9489795918367347,,94.89795918367348,94.89795918367348,0,,1,
29.0,T.J. Parker,EDGE,Clemson,100.0,T.J. Parker,Clemson,,,,,1.0,7.0,5.0,18.0,9.0,37.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,263.0,4.68,34.0,,120.0,,,21.0,1,0,0,0,1,1,0.0,2,1,,9.5,27.5,18.9,57.0,13,12,437,4.0,0.0,40.0,,0.6220295153128464,0.6220295153128464,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,0,1,0,0,0,1,0,0,,82.4,,,0,,0.5,1,0,0,9,0.2013422818791946,0,0,0,0,,,1,0.8312912346842601,,,,,0.95,,95.0,95.0,0,,0,0.0277777777777777
28.0,Peter Woods,DL,Clemson,100.0,Peter Woods,Clemson,,,,,1.0,3.0,1.5,9.0,2.5,29.0,0.0,,,,,,,,,,,,,8.0,5.0,2.0,15.0,1.9,DEF,1,,298.0,,,,,,,21.0,1,0,1,0,1,1,,0,0,,9.5,27.5,18.9,57.0,14,13,437,4.0,0.0,40.0,,1.4422840763620115,1.4422840763620115,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,0,1,0,0,0,1,0,0,,72.5,,,0,,0.5,1,1,1,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,1,0.8303487276154571,-6.3613121393963565,,,,1.0,,100.0,100.0,0,,0,0.0217391304347826
32.0,Avieon Terrell,CB,Clemson,100.0,Avieon Terrell,Clemson,,,,,8.0,0.0,3.0,30.0,4.5,48.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,186.0,,34.0,17.0,123.0,,,21.0,1,0,0,0,1,1,4.519642686967573,3,1,,9.5,27.5,18.9,57.0,15,14,437,4.0,0.0,40.0,,-1.182530518995317,-1.182530518995317,,,,,,,,3,,,,,,2,1,"CIN,DEN",0,0,0,0,0,1,0,0,0,1,0,0,-7.0,83.5,,,0,,0.5,1,0,0,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,0,0.829406220546654,-12.273501994074577,23.0,0.4669244995759551,1.4007734987278653,0.9746835443037974,83.5,97.46835443037976,83.5,0,0.125,0,
31.0,Kayden McDonald,DL,Ohio State,100.0,Kayden McDonald,Ohio State,,,,,0.0,2.0,3.0,28.0,8.0,57.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,326.0,,,,,,,21.0,1,0,0,0,1,1,,0,0,,30.1,37.6,7.7,20.0,16,15,437,4.0,0.0,40.0,,2.098487725201344,2.098487725201344,,,,,,,,3,,,,,,2,1,"CHI,CIN",1,0,0,0,1,1,0,0,0,1,0,0,,86.0,,,0,,1.0,1,1,1,6,0.1342281879194631,0,0,0,0,3.8472222222222223,2.0872498397613364,0,1.0,-6.3613121393963565,,,,0.9848484848484848,,98.48484848484848,98.48484848484848,0,,0,
30.0,Max Iheanachor,OT,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL,1,77.875,321.0,4.91,30.5,25.0,115.0,,,22.0,1,0,0,0,0,0,6.725949835886883,4,1,110.4610226411266,3.9,28.3,22.7,43.0,7,6,62,5.0,0.0,50.0,0.7041943484501398,0.5318825335442634,0.6180384409972016,,,,,,,,3,,,,,,1,1,CHI,1,1,1,1,0,1,0,0,0,1,0,0,,74.8,,,0,,0.5,0,0,0,8,1.1111111111111112,0,0,0,0,5.0,2.273030282830976,0,0.827521206409048,-16.420433326518232,,,,0.9016393442622952,,90.1639344262295,90.1639344262295,0,,1,
35.0,Cashius Howell,EDGE,Texas A&M,100.0,Cashius Howell,Texas A&M,,,,,6.0,5.0,12.5,20.0,15.0,30.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,253.0,4.59,32.5,,115.0,,,22.0,1,0,0,0,1,1,0.0,2,1,,20.7,38.0,16.4,18.0,17,16,437,5.0,0.0,50.0,,0.3876710692987993,0.3876710692987993,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,1,1,0,0,0,1,0,0,,88.0,,,0,,0.5,1,0,0,9,0.2013422818791946,0,0,0,0,,,0,0.8265786993402451,,,,,0.9375,,93.75,93.75,0,,0,0.0163934426229508
33.0,Ty Simpson,QB,Alabama,100.0,Ty Simpson,Alabama,,,,,,,,,,,,428.0,275.0,0.643,5.0,26.0,3268.0,7.6,,,,,,81.0,26.0,2.0,98.0,1.2,QB,1,,211.0,,,,,,,21.0,1,1,1,0,0,1,,0,0,,14.8,32.2,16.1,2.0,2,1,37,4.0,0.0,40.0,,-0.7381209184622011,-0.7381209184622011,,,5.2,7.635514018691588,64.25233644859813,59.0,0.0,3,,,,,,2,1,"ATL,CLE",0,0,1,1,1,1,0,0,0,1,0,0,,87.7,,,0,,0.5,1,1,1,10,2.127659574468085,0,0,0,0,3.788732394366197,2.2735465872743936,0,0.825636192271442,-11.776765859603485,,,,0.9722222222222222,,97.2222222222222,97.2222222222222,0,,0,0.0099009900990099
34.0,Colton Hood,CB,Tennessee,100.0,Colton Hood,Tennessee,1.0,23.0,1.0,23.0,8.0,0.0,0.0,34.0,4.5,50.0,1.0,,,,,,,,,,,,,,,,,,DEF,1,,193.0,4.44,40.5,,125.0,,,20.0,1,0,0,0,1,1,7.341167277164375,3,1,99.3242796953008,15.0,39.3,25.4,36.0,18,17,437,3.0,1.0,30.0,,-1.018479606785484,-1.018479606785484,,,,,,,,3,,,,,,2,1,"KC,LAC",0,0,0,0,0,1,0,0,0,1,0,0,,,,,0,,1.0,0,0,0,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,0,0.996229971724788,-12.273501994074577,,0.7950069425285791,0.0,0.9620253164556962,,96.20253164556962,96.20253164556962,0,,0,0.0196078431372549
